Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,DOI_Link,location1,location2,location3,location4,location5
Exploring the impacts of flood insurance reform on vulnerable communities,"Nance, Earthea","This paper identifies geographic areas whose real estate markets werepotentially impacted by US flood insurance reform, and it exploresconcurrent vulnerabilities—by income and race—in the most impacted areas.Because of the geographic and demographic significance of the Gulf Coastin terms of flood risk, flood insurance, and vulnerability, theHouston-Galveston region was selected for analysis. Flood insurance reformunder the Biggert–Waters Flood Insurance Reform Act of 2012 occurredunabated over a 21-month period from July 2012 to March 2014. This periodrepresents a unique real-world intervention that can be analyzed using aquasi-experimental design. The period was characterized by numerousanecdotal reports of spiking flood insurance rates and market uncertainty.Market data were gathered for two years before and two years afterBiggert–Waters in Harris and Galveston Counties. Paired z-tests wereperformed to examine before and after market differences. Findings showed17 zip codes that experienced significant impacts (p\textless0.01 in 14zip codes, p\textless0.05 in 3 zip codes). Among the significantlyimpacted zip codes, low-income households were overrepresented by 11% inHarris County and by 32% in Galveston County; and minorities wereoverrepresented by 43% in Galveston. These results support the hypothesisthat flood insurance reform can have disproportionate impacts. The paperprovides a straightforward approach for analyzing the real estate marketimpacts of flood insurance reform at a community scale. It also provides abasis for recommending that regulatory decisions involving flood insurancemust be informed by an analysis of disproportionate impacts.",2015,,International Journal of Disaster Risk Reduction,13,,20-36,,10.1016/J.IJDRR.2015.03.001,,#204,Nance 2015,,,https://doi.org/10.1016/J.IJDRR.2015.03.001,US,inHarris County,Galveston County,Galveston,
Future sea-level rise and its early detection by satellite remote sensing,"Thomas, Robert H",,1987,,Progress in Oceanography,18,1-4,23-40,,10.1016/0079-6611(87)90024-3,,#206,Thomas 1987,,,https://doi.org/10.1016/0079-6611(87)90024-3,,,,,
Direct and indirect controls on organic matter decomposition in fourcoastal wetland communities along a landscape salinity gradient,"Stagg, Camille L; Baustian, Melissa M; Perry, Carey L; Carruthers, Tim J B; Hall, Courtney T","Coastal wetlands store more carbon than most ecosystems globally. As sealevel rises, changes in flooding and salinity will potentially impactecological functions, such as organic matter decomposition, that influencecarbon storage. However, little is known about the mechanisms that controlorganic matter loss in coastal wetlands at the landscape scale. As sealevel rises, how will the shift from fresh to salt-tolerant plantcommunities impact organic matter decomposition? Do long-term,plant-mediated, effects of sea-level rise differ from direct effects ofelevated salinity and flooding? We identified internal and externalfactors that regulated indirect and direct pathways of sea-level riseimpacts, respectively, along a landscape-scale salinity gradient thatincorporated changes in wetland type (fresh, oligohaline, mesohaline andpolyhaline marshes). We found that indirect and direct impacts ofsea-level rise had opposing effects on organic matter decomposition.Salinity had an indirect effect on litter decomposition that was mediatedthrough litter quality. Despite significant variation in environmentalconditions along the landscape gradient, the best predictors of above- andbelow-ground litter decomposition were internal drivers, initial litternitrogen content and initial litter lignin content respectively. Litterdecay constants were greatest in the oligohaline marsh and declined withincreasing salinity, and the fraction of litter remaining (asymptote) wasgreatest in the mesohaline marsh. In contrast, direct effects of salinityand flooding were positive. External drivers, salinity and flooding,stimulated cellulytic activity, which was highest in the polyhaline marsh.Synthesis. Our results indicate that as sea level rises, initial directeffects of salinity will stimulate decay of labile carbon, but over timeas plant communities shift from fresh to polyhaline marsh, litter decaywill decline, yielding greater potential for long-term carbon storage.These findings highlight the importance of quantifying carbon loss atmultiple temporal scales, not only in coastal wetlands but also in otherecosystems where plant-mediated responses to climate change will havesignificant impacts on carbon cycling.",2018,,J. Ecol.,106,2,655-670,,10.1111/1365-2745.12901,,#210,Stagg 2018,,,https://doi.org/10.1111/1365-2745.12901,,,,,
"Ecosystem impacts of three sequential hurricanes (Dennis, Floyd and Irene)on the United State's largest lagoonal estuary, Pamlico Sound, NC","Paerl, H W et al; Bales, J D; Ausley, L W; Buzzelli, C P; Crowder, L B; Eby, L A; Fear, J M; Go, M; Peierls, B L; Richardson, T L; Ramus, J S; M.Go, ; Richardsoni, T L; Ramus¶, J S","Three sequential hurricanes, Dennis, Floyd, and Irene, affected coastalNorth Carolina in September and October 1999. These hurricanes inundatedthe region with up to 1 m of rainfall, causing 50- to 500-year flooding inthe watershed of the Pamlico Sound, the largest lagoonal estuary in theUnited States and a key West Atlantic fisheries nursery. We investigatedthe ecosystem-level impacts on and responses of the Sound to thefloodwater discharge. Floodwaters displaced three-fourths of the volume ofthe Sound, depressed salinity by a similar amount, and delivered at leasthalf of the typical annual nitrogen load to this nitrogen-sensitiveecosystem. Organic carbon concentrations in floodwaters entering PamlicoSound via a major tributary (the Neuse River Estuary) were at least 2-foldhigher than concentrations under prefloodwater conditions. A cascading setof physical, chemical, and ecological impacts followed, including strongvertical stratification, bottom water hypoxia, a sustained increase inalgal biomass, displacement of many marine organisms, and a rise in fishdisease. Because of the Sound's long residence time ( approximately 1year), we hypothesize that the effects of the short-term nutrientenrichment could prove to be multiannual. A predicted increase in thefrequency of hurricane activity over the next few decades may causelonger-term biogeochemical and trophic changes in this and other estuarineand coastal habitats.",2001,,Proceedings of the National Academy of Science,98,10,5655-5660,,10.1073/pnas.101097398,,#213,Paerl 2001,,,https://doi.org/10.1073/pnas.101097398,Carolina,the Pamlico Sound,theUnited States,West Atlantic,
Saltwater and nutrient legacies reduce net ecosystem carbon storagedespite freshwater restoration: insights from experimental wetlands,"Lee, Dong Yoon; Kominoski, John S; Kline, Michael; Robinson, Michelle; Roebling, Suzy","Net ecosystem carbon balance is a comprehensive assessment of ecosystemfunction that can test restoration effectiveness. Coastal peatlands areglobally important carbon sinks that are vulnerable to carbon loss withsaltwater intrusion. It is uncertain how wetland carbon stocks and fluxeschange during freshwater restoration following exposure to saltwater andelevated nutrients. We restored freshwater to sawgrass (Cladiumjamaicense) peat monoliths from freshwater marshes of the Everglades(Florida, U.S.A.) that had previously been exposed to elevated salinity(approximately9 ppt) and phosphorus (P) loading (1 g P m?2 year?1) inwetland mesocosms. We quantified changes in water and soilphysicochemistry, plant and soil carbon and nutrient standing stocks, andnet ecosystem productivity during restoration. Added freshwaterimmediately reduced porewater salinity from >8 to approximately 2 ppt, butelevated porewater dissolved organic carbon persisted. Above- andbelowground biomass, leaf P concentrations, and instantaneous rates ofgross ecosystem productivity (GEP) and ecosystem respiration (ER) remainedelevated from prior added P. Modeled monthly GEP and ER were higher inmarshes with saltwater and P legacies, resulting in negative net ecosystemproductivities that were up to 12? lower than controls. Leaf litterbreakdown rates and litter P concentrations were 2? higher in marshes withlegacies of added saltwater and P. Legacies of saltwater and P on carbonloss persisted despite freshwater restoration, but recovery was greatestfor freshwater marshes exposed to saltwater alone. Our results suggestthat restoration in nutrient-limited freshwater wetlands exposed tosaltwater intrusion and nutrient enrichment is a slow process.",2022,,Restor. Ecol.,30,7,,,10.1111/rec.13524,,#217,Lee 2022,,,https://doi.org/10.1111/rec.13524,Everglades(Florida,U.S.A.,,,
Potential biochemical indicators of salinity tolerance in plants,"Ashraf, M; Harris, P J C","Despite a wealth of published research on salinity tolerance of plants,neither the metabolic sites at which salt stress damages plants nor theadaptive mechanisms utilized by plants to survive under saline conditionsare well understood. As a result, there are no well-defined indicators forsalinity tolerance available to assist plant breeders in the improvementof salinity tolerance of important agricultural crops. Although plantbreeders have successfully improved salinity tolerance of some crops inrecent decades, using plant vigor or seed yield as the main selectioncriteria, selection may be more convenient and practicable if the croppossesses distinctive indicators of salt tolerance at the whole plant,tissue or cellular level. Thus, there is a need to determine theunderlying biochemical mechanisms of salinity tolerance so as to provideplant breeders with appropriate indicators. In this review, thepossibility of using these biochemical characteristics as selectioncriteria for salt tolerance is discussed. It is concluded that althoughthere are a number of promising selection criteria, the complex physiologyof salt tolerance and the variation between species make it difficult toidentify single criteria. Progress is more likely if biochemicalindicators for individual species rather than generic indicators can bedetermined. \textcopyright 2003 Elsevier Ireland Ltd. All rights reserved.",2004,,,166,1,3-16,,10.1016/j.plantsci.2003.10.024,,#218,Ashraf 2004,,,https://doi.org/10.1016/j.plantsci.2003.10.024,,,,,
Solastalgia: the distress caused by environmental change,"Albrecht, Glenn; Sartore, Gina-Maree; Connor, Linda; Higginbotham, Nick; Freeman, Sonia; Kelly, Brian; Stain, Helen; Tonna, Anne; Pollard, Georgia","OBJECTIVE: Solastalgia is a new concept developed to give greater meaningand clarity to environmentally induced distress. As opposed tonostalgia--the melancholia or homesickness experienced by individuals whenseparated from a loved home--solastalgia is the distress that is producedby environmental change impacting on people while they are directlyconnected to their home environment. The paper will focus on two contextswhere collaborative research teams have found solastalgia to be evident:the experiences of persistent drought in rural NSW and the impact oflarge-scale open-cut coal mining on individuals in the Upper Hunter Valleyof NSW. In both cases, people exposed to environmental change experiencednegative affect that is exacerbated by a sense of powerlessness or lack ofcontrol over the unfolding change process. METHODS: Qualitative(interviews and focus groups) and quantitative (community-based surveys)research has been conducted on the lived experience of drought and mining,and the findings relevant to solastalgia are presented. RESULTS: Theauthors are exploring the potential uses and applications of the conceptof solastalgia for understanding the psychological impact of theincreasing incidence of environmental change worldwide. CONCLUSIONS:Worldwide, there is an increase in ecosystem distress syndromes matched bya corresponding increase in human distress syndromes. The specific roleplayed by global-scale environmental challenges to 'sense of place' andidentity will be explored in the future development of the concept ofsolastalgia.",2007,,Australas. Psychiatry,15 Suppl 1,,S95-8,,10.1080/10398560701701288,,#220,Albrecht 2007,,,https://doi.org/10.1080/10398560701701288,ofsolastalgia,,,,
Inequitable patterns of US flood risk in the Anthropocene,"Wing, Oliver E J; Lehman, William; Bates, Paul D; Sampson, Christopher C; Quinn, Niall; Smith, Andrew M; Neal, Jeffrey C; Porter, Jeremy R; Kousky, Carolyn",,2022,,nature climate change,,,,,,,#221,Wing 2022,,,https://doi.org/nan,,,,,
Aboveground carbon loss associated with the spread of ghost forests as sealevels rise,"Smart, Lindsey S; Taillie, Paul J; Poulter, Benjamin; Vukomanovic, Jelena; Singh, Kunwar K; Swenson, Jennifer J; Mitasova, Helena; Smith, Jordan W; Meentemeyer, Ross K","Coastal forests sequester and store more carbon than their terrestrialcounterparts but are at greater risk of conversion due to sea level rise.Saltwater intrusion from sea level rise converts freshwater-dependentcoastal forests to more salt-tolerant marshes, leaving ‘ghost forests’ ofstanding dead trees behind. Although recent research has investigated thedrivers and rates of coastal forest decline, the associated changes incarbon storage across large extents have not been quantified. We mappedghost forest spread across coastal North Carolina, USA, using repeat LightDetection and Ranging (LiDAR) surveys, multi-temporal satellite imagery,and field measurements of aboveground biomass to quantify changes inaboveground carbon. Between 2001 and 2014, 15% (167 km2) of unmanagedpublic land in the region changed from coastal forest to transition-ghostforest characterized by salt-tolerant shrubs and herbaceous plants.Salinity and proximity to the estuarine shoreline were significant driversof these changes. This conversion resulted in a net aboveground carbondecline of 0.13 ± 0.01 TgC. Because saltwater intrusion precedesinundation and influences vegetation condition in advance of mature treemortality, we suggest that aboveground carbon declines can be used todetect the leading edge of sea level rise. Aboveground carbon declinesalong the shoreline were offset by inland aboveground carbon gainsassociated with natural succession and forestry activities like planting(2.46 ± 0.25 TgC net aboveground carbon across study area). Our studyhighlights the combined effects of saltwater intrusion and land use onaboveground carbon dynamics of temperate coastal forests in North America.By quantifying the effects of multiple interacting disturbances, ourmeasurement and mapping methods should be applicable to other coastallandscapes experiencing saltwater intrusion. As sea level rise increasesthe landward extent of inundation and saltwater exposure, investigationsat these large scales are requisite for effective resource allocation forclimate adaptation. In this changing environment, human intervention,whether through land preservation, restoration, or reforestation, may benecessary to prevent aboveground carbon loss.",2020,,Environ. Res. Lett.,15,10,104028,,10.1088/1748-9326/aba136,,#222,Smart 2020,,,https://doi.org/10.1088/1748-9326/aba136,North Carolina,USA,,,
Future flood losses in major coastal cities,"Hallegatte, Stephane; Green, Colin; Nicholls, Robert J; Corfee-Morlot, Jan","Flood losses in coastal cities will rise due to increasing populations andassets. Research now quantifies average losses in the 136 largest coastalcities. Estimated at approximately US$6 billion in 2005, average annuallosses could increase to US$52 billion by 2050 on the basis of projectedsocio-economic change alone. If climate change and subsidence are alsoconsidered, current protection will need to be upgraded to avoidunacceptable losses.",2013,,Nature Climate Change,3,9,802-806,,10.1038/nclimate1979,,#224,Hallegatte 2013,,,https://doi.org/10.1038/nclimate1979,,,,,
This must be the place: underrepresentation of identity and meaning inclimate change decision-making,"Adger, W Neil; Barnett, Jon; Chapin, F Stuart, III; Ellemor, Heidi",,2011,,Global Environmental Politics,11,2,1-25,,,,#226,Adger 2011,,,https://doi.org/nan,,,,,
Social Justice and Environmental Displacement,"Mastaler, James S","Abstract Climate change is a powerful form of structural violenceperpetrated against the world's poorest communities. The internationalcommunity has failed to mitigate fully or prevent human-induced climatechange, and millions of people around the world already have begunexperiencing some of the consequences of that failure to act. Moreover,the international community is failing to adequately plan for theworst-case scenarios in which those who are least able to adapt to a newclimate paradigm increasingly find themselves displaced and compelled torelocate, domestically or internationally, because of environmentalchanges. Climate-induced environmental displacement is a multifacetedproblem requiring a holistic social justice response?one that cantranscend traditional disciplinary boundaries and affect change acrossmultiple sectors.",2019,,Environ. Justice,12,1,17-22,,10.1089/env.2018.0029,,#227,Mastaler 2019,,,https://doi.org/10.1089/env.2018.0029,,,,,
Future response of global coastal wetlands to sea-level rise,"Schuerch, Mark; Spencer, Tom; Temmerman, Stijn; Kirwan, Matthew L; Wolff, Claudia; Lincke, Daniel; McOwen, Chris J; Pickering, Mark D; Reef, Ruth; Vafeidis, Athanasios T; Hinkel, Jochen; Nicholls, Robert J; Brown, Sally","The response of coastal wetlands to sea-level rise during the twenty-firstcentury remains uncertain. Global-scale projections suggest that between20 and 90 per cent (for low and high sea-level rise scenarios,respectively) of the present-day coastal wetland area will be lost, whichwill in turn result in the loss of biodiversity and highly valuedecosystem services1-3. These projections do not necessarily take intoaccount all essential geomorphological4-7 and socio-economic systemfeedbacks8. Here we present an integrated global modelling approach thatconsiders both the ability of coastal wetlands to build up vertically bysediment accretion, and the accommodation space, namely, the vertical andlateral space available for fine sediments to accumulate and be colonizedby wetland vegetation. We use this approach to assess global-scale changesin coastal wetland area in response to global sea-level rise andanthropogenic coastal occupation during the twenty-first century. On thebasis of our simulations, we find that, globally, rather than losses,wetland gains of up to 60 per cent of the current area are possible, ifmore than 37 per cent (our upper estimate for current accommodation space)of coastal wetlands have sufficient accommodation space, and sedimentsupply remains at present levels. In contrast to previous studies1-3, weproject that until 2100, the loss of global coastal wetland area willrange between 0 and 30 per cent, assuming no further accommodation spacein addition to current levels. Our simulations suggest that the resilienceof global wetlands is primarily driven by the availability ofaccommodation space, which is strongly influenced by the building ofanthropogenic infrastructure in the coastal zone and such infrastructureis expected to change over the twenty-first century. Rather than being aninevitable consequence of global sea-level rise, our findings indicatethat large-scale loss of coastal wetlands might be avoidable, ifsufficient additional accommodation space can be created through carefulnature-based adaptation solutions to coastal management.",2018,,Nature,561,7722,231-234,,10.1038/s41586-018-0476-5,,#228,Schuerch 2018,,,https://doi.org/10.1038/s41586-018-0476-5,,,,,
Salt marsh migration into salinized agricultural fields: a novel assemblyof plant communities,"Gedan, Keryn B; Fernández‐Pascual, Eduardo",,2019,,J. Veg. Sci.,,,jvs.12774,,10.1111/jvs.12774,,#234,Gedan 2019,,,https://doi.org/10.1111/jvs.12774,,,,,
Saltwater Intrusion Modifies Microbial Community Structure and DecreasesDenitrification in Tidal Freshwater Marshes,"Neubauer, Scott C; Piehler, Michael F; Smyth, Ashley R; Franklin, Rima B","Environmental changes can alter the interactions between biotic andabiotic ecosystem components in tidal wetlands and therefore impactimportant ecosystem functions. The objective of this study was todetermine how saltwater intrusion affects wetland nutrientbiogeochemistry, with a specific focus on the soil microbial communitiesand physicochemical parameters that control nitrate removal. Our work tookplace in a tidal freshwater marsh in South Carolina, USA, where a 3.5-yearsaltwater intrusion experiment increased porewater salinities fromfreshwater to oligohaline levels. We measured rates of denitrification,soil oxygen demand, and dissimilatory nitrate reduction to ammonium (DNRA)and used molecular genetic techniques to assess the abundance andcommunity structure of soil microbes. In soils exposed to elevatedsalinities, rates of denitrification were reduced by about 70% due tochanges in the soil physicochemical environment (higher salinity, highercarbon:nitrogen ratio) and shifts in the community composition ofdenitrifiers. Saltwater intrusion also affected the microbial communityresponsible for DNRA, increasing the abundance of genes associated withthis process and shifting microbial community composition. Though rates ofDNRA were below detection, the microbial community response may be aprecursor to increased rates of DNRA with continued saltwater intrusion.Overall, saltwater intrusion reduces the ability of tidal freshwatermarshes to convert reactive nitrogen to dinitrogen gas and thereforenegatively affects their water quality functions. Continued study of theinterrelationships between biotic communities, the abiotic environment,and biogeochemical transformations will lead to a better understanding ofhow the progressive replacement of tidal freshwater marshes with brackishanalogues will affect the overall functioning of the coastal landscape.",2019,,Ecosystems,22,4,912-928,,10.1007/s10021-018-0312-7,,#235,Neubauer 2019,,,https://doi.org/10.1007/s10021-018-0312-7,DNRA,South Carolina,USA,,
Seeking Justice in an Energy Sacrifice Zone: Standing on Vanishing Land inCoastal Louisiana,"Maldonado, Julie K","Seeking Justice in an Energy Sacrifice Zone is an ethnography of the livedexperience of rapid environmental change in coastal Louisiana, USA.Writing from a political ecology perspective, Maldonado explores theeffects of changes to localized climate and ecology on the Isle de JeanCharles, Grand Caillou/Dulac, and Pointe-au-Chien Indian Tribes. Focusingin particular on wide-ranging displacement effects, she argues thatchanges to climate and ecology should not be viewed in isolation as onlyphysical processes but as part of wider socio-political and historicalcontexts. The book is valuable reading for students and scholars in thefields of anthropology, sociology, geography, environmental studies anddisaster studies as well as public policy and planning.",2018,,,,,176,,,,#237,Maldonado 2018,,,https://doi.org/nan,Louisiana,USA.Writing,the Isle de JeanCharles,,
Saltwater intrusion as potential driver of phosphorus release fromlimestone bedrock in a coastal aquifer,"Flower, Hilary; Rains, Mark; Lewis, David; Zhang, Jia-Zhong; Price, René","An important but often overlooked consequence of saltwater intrusion isthe potential increase of groundwater soluble reactive phosphorusconcentrations. The phosphorus sorption dynamics of two limestone rocks ofdifferent composition were investigated by simulating seawater intrusionover a wide range of mixing ratios between freshwater and saltwater. Bothrocks exhibited a logarithmic loss of sorption efficiency in mixturescontaining more than approximately 3 mM Cl− concentration (100 mg Cl−/L;about <1% saltwater). We infer that aquifer solids immersed in freshwaterwould undergo phosphorus desorption in response to the introduction ofthis minor amount of seawater. This Cl− concentration is within the rangedesignated as fresh water. Thus we conclude that increased solublereactive phosphorus availability from saltwater-induced desorption mayoccur at the ion exchange front, which is actually landward of thesaltwater intrusion front as it is commonly defined. Sorption efficiencyin our experiments continued to decline as salinity increased, until Cl−concentration reached a second threshold of 50 or 200 mM (1700 or 7700 mgCl−/L), depending on the rock composition, particularly iron content.Further increase in salinity would produce little increase in groundwatersoluble reactive phosphorus concentration. Our results have implicationsfor soluble reactive phosphorus availability in estuaries that receivemixing zone groundwater discharge.",2017,,Estuar. Coast. Shelf Sci.,184,,166-176,,10.1016/j.ecss.2016.11.013,,#238,Flower 2017,,,https://doi.org/10.1016/j.ecss.2016.11.013,,,,,
Identifying Sources and Oxidation of Methane in Standing Dead Trees inFreshwater Forested Wetlands,"Martinez, Melinda; Ardón, Marcelo; Carmichael, Mary Jane","Wetlands are large sources of methane (CH4), therefore it is vital tounderstand the pathways, mechanisms, and sources to anticipate futurepositive feedbacks to climate change. Plant mediated transport of CH4 fromsediment-borne gases is thought to be a major contributor in wetlandecosystems, though few studies have measured standing dead trees (snags).Snags are expected to become more common across the southeastern coast asmarshes migrate into freshwater forested wetlands. In this study, our goalwas to distinguish the main sources of CH4 being emitted from snags, thatis, from soil or in situ origin. The δ2H and δ13C stable isotopiccomposition from various sources was sampled for source determination. Wemeasured CH4 in various components: emissions from snag stem sides and thesoil-atmosphere interface; and concentrations from snag trunk airspace atvarious heights from ground level (30, 60, and 120 cm), and soilporewater. Potential CH4 production and oxidation in tree cores from twoheights (60 and 120 cm) was also measured to examine the potential for CH4generation or oxidation in stems. We found that CH4 concentrations insidesnags (∼10–200 ppm) were 2–50 times higher than atmospheric levels, andgenerally decreased with increasing stem height. The stable isotopes δ13Cand δ2H showed an enrichment from porewater to soils and snag stems. δ13Cenrichment of CH4 in snag stems suggests that CH4 is being oxidized as itmoves through snags. The tree core vial incubations showed that very fewcores produced small amounts of CH4 under anaerobic conditions (n = 5 outof 50), and very few cores oxidized CH4 under more aerobic conditions (n =5 out of 50). It is possible that a small amount of CH4 is producedin-situ within the heartwood, but it is likely this depends on thedensity, porosity, and aeration of snags (degree of decay). Our resultshighlight that high concentrations of CH4 can persist within the heartwoodof snags long after initial decay, and that CH4 emitted from snags islargely derived from deep wetland soils and oxidized during transport (viadiffusion) throughout the stem of snags.",2022,,Front. Environ. Sci. Eng. China,9,,,,10.3389/fenvs.2021.737379,,#240,Martinez 2022,,,https://doi.org/10.3389/fenvs.2021.737379,,,,,
Tidal freshwater forests: Sentinels for climate change,"Stahl, Mckenna; Widney, Sarah; Craft, Christopher","We measured plant community composition and productivity, soil accretion,and C, N, and P burial in a tidal freshwater forest of the Altamaha River,Georgia to gain a better understanding of the ecosystem services theydeliver and their ability to keep pace with current and future rates ofsea level rise. Ten species were identified in two 0.1 ha plots. Nyssaaquatica (Tupelo Gum) made up 50% of the density and 57% of the totalbasal area. Nyssa biflora, Liquidambar styraciflua, and Fraxinuspennsylvanica were the next dominant species, collectively accounting for37% of the density and 26% of the total basal area. Taxodium distichumonly accounted for 3% of the density, but 12% of the total basal area.Aboveground productivity, measured as litterfall and stem wood growth,averaged 927 and 1030 g/m2 in 2015 and 2016, respectively, with litterfallaccounting for 60% of the total. Tidal forest soils in the streamside andthe interior (0–60 cm) contained 3–6% organic C, 0.20–0.40% N, and 270–540µg/g P. Soil accretion based on 137Cs was 4.0 mm/year on the streamsideand 0.2 mm/year in the forest interior. The rate of accretion in theinterior is considerably less than the current rate of sea level rise (3.1mm/year) along the Georgia coast. Because the accretion rate was muchhigher on the streamside, rates of C sequestration, N and P accumulation,and mineral sediment deposition also were much greater. Low accretionrates in the interior of the forest that accounts for most of the acreagesuggests that accelerated sea level rise is likely to lead to foreseeabledeath of tidal forests from saltwater intrusion and submergence.",2018,,Ecol. Eng.,116,,104-109,,10.1016/j.ecoleng.2018.03.002,,#241,Stahl 2018,,,https://doi.org/10.1016/j.ecoleng.2018.03.002,Georgia,N,Liquidambar,,
Applications of network analysis for adaptive management of artificialdrainage systems in landscapes vulnerable to sea level rise,"Poulter, Benjamin; Goodall, Jonathan L; Halpin, Patrick N","Summary The vulnerability of coastal landscapes to sea level rise iscompounded by the existence of extensive artificial drainage networksinitially built to lower water tables for agriculture, forestry, and humansettlements. These drainage networks are found in landscapes with littletopographic relief where channel flow is characterized by bi-directionalmovement across multiple time-scales and related to precipitation, wind,and tidal patterns. The current configuration of many artificial drainagenetworks exacerbates impacts associated with sea level rise such assalt-intrusion and increased flooding. This suggests that in theshort-term, drainage networks might be managed to mitigate sea level riserelated impacts. The challenge, however, is that hydrologic processes inregions where channel flow direction is weakly related to slope andtopography require extensive parameterization for numerical models whichis limited where network size is on the order of a hundred or morekilometers in total length. Here we present an application of graphtheoretic algorithms to efficiently investigate network propertiesrelevant to the management of a large artificial drainage system incoastal North Carolina, USA. We created a digital network modelrepresenting the observation network topology and four types of drainagefeatures (canal, collector and field ditches, and streams). We appliedbetweenness-centrality concepts (using Dijkstra’s shortest path algorithm)to determine major hydrologic flowpaths based off of hydraulic resistance.Following this, we identified sub-networks that could be managedindependently using a community structure and modularity approach. Lastly,a betweenness-centrality algorithm was applied to identify major shorelineentry points to the network that disproportionately control water movementin and out of the network. We demonstrate that graph theory can be appliedto solving management and monitoring problems associated with sea levelrise for poorly understood drainage networks in advance of numericalmethods.",2008,,J. Hydrol.,357,3,207-217,,10.1016/j.jhydrol.2008.05.022,,#243,Poulter 2008,,,https://doi.org/10.1016/j.jhydrol.2008.05.022,North Carolina,USA,,,
Salinity effects on greenhouse gas emissions from wetland soils arecontingent upon hydrologic setting: a microcosm experiment,"Ardón, Marcelo; Helton, Ashley M; Bernhardt, Emily S","Coastal forested wetlands provide important ecosystem services such ascarbon sequestration, nutrient retention, and flood protection, but theyare also important sources of greenhouse gas emissions. Humanappropriation of surface water and extensive ditching and draining ofcoastal plain landscapes are interacting with rising sea levels toincrease the frequency and magnitude of saltwater incursion into formerlyfreshwater coastal wetlands. Both hydrologic change and saltwaterincursion are expected to alter carbon and nutrient cycling in coastalforested wetlands. We performed a full factorial experiment in which weexposed intact soil cores from a coastal forested wetland to experimentalmarine salt treatments and two hydrologic treatments. We measured theresulting treatment effects on the emissions of carbon dioxide (CO2),methane (CH4), and nitrous oxide (N2O) over 112 days. Salinity effectswere compared across four treatments to isolate the effects of increasesin ionic strength from the impact of adding a terminal electron acceptor(SO42−). We compared control treatments (DI addition), to artificialsaltwater (ASW, target salinity of 5 parts per thousand) and to twotreatments that added sulfate alone (SO42−, at the concentration found in5 ppt saltwater) and saltwater with the sulfate removed (ASW-SO42−, withthe 5 ppt target salinity maintained by adding additional NaCl). We foundthat all salt treatments suppressed CO2 production, in both drought andflooded treatments. Contrary to our expectations, CH4 fluxes from ourflooded cores increased between 300 and 1200% relative to controls in theASW and ASW-SO42− treatments respectively. In the drought treatments, wesaw virtually no CH4 release from any core, while artificial seawater withsulfate increased N2O fluxes by 160% above DI control. In contrast, saltand sulfate decreased N2O fluxes by 72% in our flooded treatments. Ourresults indicate that salinization of forested wetlands of the coastalplain may have important climate feedbacks resulting from enhancedgreenhouse gas emissions and that the magnitude and direction of theseemissions are contingent upon wetland hydrology.",2018,,Biogeochemistry,140,2,217-232,,10.1007/s10533-018-0486-2,,#246,Ardón 2018,,,https://doi.org/10.1007/s10533-018-0486-2,,,,,
Fighting the inevitable: infrastructure investment and coastal communityadaptation to sea level rise,"Woodruff, Sierra; BenDor, Todd K; Strong, Aaron L",,2018,,System Dynamics Review,34,1-2,48-77,,,,#248,Woodruff 2018,,,https://doi.org/nan,,,,,
The impacts of climate change on tribal traditional foods,"Lynn, Kathy; Daigle, John; Hoffman, Jennie; Lake, Frank; Michelle, Natalie; Ranco, Darren; Viles, Carson; Voggesser, Garrit; Williams, Paul","American Indian and Alaska Native tribes are uniquely affected by climatechange. Indigenous peoples have depended on a wide variety of nativefungi, plant and animal species for food, medicine, ceremonies, communityand economic health for countless generations. Climate change stands toimpact the species and ecosystems that constitute tribal traditional foodsthat are vital to tribal culture, economy and traditional ways of life.This paper examines the impacts of climate change on tribal traditionalfoods by providing cultural context for the importance of traditionalfoods to tribal culture, recognizing that tribal access to traditionalfood resources is strongly influenced by the legal and regulatoryrelationship with the federal government, and examining the multi-facetedrelationship that tribes have with places, ecological processes andspecies. Tribal participation in local, regional and national climatechange adaption strategies, with a focus on food-based resources, caninform and strengthen the ability of both tribes and other governmentalresource managers to address and adapt to climate change impacts.",2014,,"Climate Change and Indigenous Peoples in the United States: Impacts,Experiences and Actions",,,37-48,,10.1007/978-3-319-05266-3_4,,#251,Lynn 2014,,,https://doi.org/10.1007/978-3-319-05266-3_4,,,,,
Drought-induced saltwater incursion leads to increased wetland nitrogenexport,"Ardón, Marcelo; Morse, Jennifer L; Colman, Benjamin P; Bernhardt, Emily S",,2013,,Glob. Chang. Biol.,19,10,2976-2985,,10.1111/gcb.12287,,#252,Ardón 2013,,,https://doi.org/10.1111/gcb.12287,,,,,
