,DOI,Col1,Col2,Col3,Col4,Col5,Col6,Col7
189,10.5194/hess-24-2121-2020,Barcelona (8),Sci. (7),Spain (5),Hydrol (5),Mediterranean (2),France (2),Greenhalgh (2)
190,10.5194/hess-23-1431-2019,Bangladesh (17),Sci. (7),LGM (3),Utrecht (2),Netherlands (2),Hydrol (2),N5 (2)
191,10.1016/j.geoderma.2020.114380,Brazil (5),−1 (4),Antipov (4),Salina (4),Banhado lake (4),Nhecolândia (3),Fernandes (3)
192,10.1007/978-94-007-5648-9_12,Singapore (2),the Paciﬁc Ocean (2),Micronesia (2),Kiribati (2),Pokfulam (1),Hong Kong (1),Canberra (1)
193,10.1007/s12665-020-8856-1,Jiaojia (22),China (5),Quaternary (3),Tanlu (2),min(xi (2),⎥ (2),Germany (1)
194,10.1111/j.1475-2743.1987.tb00724.x,Argentina (3),UG (3),Jackson (2),Australia (2),Sala (2),L.A. (2),United (2)
195,10.1016/j.scitotenv.2020.144654,China (8),Western Songnen Plain (3),s.e. (3),Chongqing 400715 (2),Japan (2),Phragmites (1),Chongqing 400714 (1)
196,10.1080/00103629309368884,Argentina (5),England (1),London (1),3JH (1),UK (1),Universidad (1),Avenida (1)
197,10.1007/s12665-011-1088-7,the Quinto Basin (9),Italy (7),Cerba (7),kPa (6),Mediterranean (4),the Adriatic Sea (3),The Quinto Basin (2)
198,10.1029/2019PA003642,Aktau (7),the Ili Basin (6),Kazakhstan (4),Germany (3),Earth (3),Central  Asia (3),Tian (3)
199,10.4025/ actascibiolsci.v34i4.8535,japonica (21),Formosa (9),Atalanta (8),Brazil (7),Oryza (7),Lima (4),mM (2)
200,10.1134/S1064229315100087,Moscow (3),Mongolia (3),Central Asia (2),the Gobi Desert  E. I. Pankovaa (1),Geography (1),Trans(cid:2)Altai (1),Western Siberia (1)
201,10.1007/s42990-021-00060-x,States (16),Spain (9),Portugal (8),France (5),Brussels (3),Mediterranean (2),Uruguay (2)
202,10.1016/j.palaeo.2020.110141,Liangzhu (16),China (8),Liangzhu City (7),Nanjing (4),Yangtze (3),the Yangtze Delta (3),Ca (3)
203,10.1002/esp.4382,Spain (3),Canary Islands (3),Hesp (3),Geomorphological (3),El Inglés (2),Universidad (1),"Las 

 (1)"
204,10.1016/B978-0-12-805068-2.00043-7,Senegal (33),West Africa (7),Saint-Louis (6),Sine (5),the Senegal River (4),France (2),Africa (2)
205,10.1007/s10933-012-9577-6,Bosmina (14),Alona (13),Canada (11),Camptocercus (9),Mackenzie Delta (8),the Mackenzie Delta (8),Arctic (7)
206,10.1007/s13157-015-0701-z,New Jersey (12),New Jersey’s (3),Troy (3),Wetland (2),New Brunswick (1),Ithaca (1),Konarska (1)
207,10.1007/s12665-021-09774-5,Italy (5),San Vitale (3),Adriatic Sea (2),Romagna (1),Nazarnia (1),Northern Italy (1),Carminati (1)
208,10.1016/j.ecss.2020.106650,South Africa (18),Africa (7),South (5),South  Africa (4),Sarcocornia (4),Turpie (2),Estuarine (2)
209,10.1051/e3sconf/20199705026,Tashkent (5),Karakalpakstan (3),pp. (3),Uzbekistan (2),the  Republic (1),The  Republic (1),Aral Sea (1)
210,10.1016/j.jhydrol.2007.01.042,Sinai (27),Israel (15),Negev (12),Sadek (8),Kashai (8),Egypt (7),the Dead Sea (7)
211,10.1007/BF00019115,pBCORc115 (6),Poly(A (2),Belgium (1),Departments (1),Gainesville (1),Ottawa (1),Ontario (1)
212,10.1016/j.agwat.2014.08.022,Netherlands (26),Zeeland (8),Friesland (5),North  Sea (3),Holland (3),Zuur (2),Gelderland (2)
