,Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
49,Relative sea-level rise and the conterminous United States: Consequencesof potential land inundation in terms of population at risk and GDP loss,"Haer, Toon; Kalnay, Eugenia; Kearney, Michael; Moll, Henk","Global sea-level rise poses a significant threat not only for coastalcommunities as development continues but also for national economies. Thispaper presents estimates of how future changes in relative sea-level riseputs coastal populations at risk, as well as affect overall GDP in theconterminous United States. We use four different sea-level rise scenariosfor 2010–2100: a low-end scenario (Extended Linear Trend) a second low-endscenario based on a strong mitigative global warming pathway (GlobalWarming Coupling 2.6), a high-end scenario based on rising radiativeforcing (Global Warming Coupling 8.5) and a plausible very high-endscenario, including accelerated ice cap melting (Global Warming Coupling8.5+). Relative sea-level rise trends for each US state are employed toobtain more reasonable rates for these areas, as long-term rates varyconsiderably between the US Atlantic, Gulf and Pacific coasts because ofthe Glacial Isostatic Adjustment, local subsidence and sedimentcompaction, and other vertical land movement. Using these trends for thefour scenarios reveals that the relative sea levels predicted by century'send could range – averaged over all states – from 0.2 to 2.0m abovepresent levels. The estimates for the amount of land inundated vary from26,000 to 76,000km2. Upwards of 1.8 to 7.4 million people could be atrisk, and GDP could potentially decline by USD 70–289 billion.Unfortunately, there are many uncertainties associated with the impactestimates due to the limitations of the input data, especially the inputelevation data. Taking this into account, even the most conservativescenario shows a significant impact for the US, emphasizing the importanceof adaptation and mitigation.",2013,,Glob. Environ. Change,23,6,1627-1636,,10.1016/j.gloenvcha.2013.09.005,,#128,Haer 2013,,
50,Rural coastal community resilience: Assessing a framework in eastern NorthCarolina,"Jurjonas, Matthew; Seekamp, Erin","Rural coastal communities have unique vulnerabilities to the impactscaused by sea level rise and saltwater intrusion compared to coastal urbanareas that have growing populations, increasing property values, andextensive infrastructure. In contrast, rural coastal communities aretypically dependent on traditional natural resource livelihoods likefarming, commercial fishing, forestry, and outdoor recreationopportunities. Saltwater intrusion, exacerbated by sea level rise, impactsrural livelihoods by limiting suitable agricultural land and developmentoptions, which compounds local economic difficulties. Higher rates ofpoverty, aging demographics, and out-migration already challenge theresilience of rural coastal communities. Informed by sociological researchthat addresses the local economic factors unique to rural communities andresilience research on coastal communities and natural hazards, we proposethe Rural Coastal Community Resilience (RCCR) framework. We test the RCCRframework through a series of focus groups within the Albemarle PamlicoPeninsula of North Carolina (U.S.), a low-lying, rural region with nearlyone-half of its land less than 1 m above sea level. Applying the RCCRframework revealed that local priorities include maintaining rurallivelihoods, creating job opportunities, and addressing highly vulnerablepopulations. By including stakeholder voices to stimulate capacitybuilding dialogue, the RCCR framework boosts rural coastal communityresilience by focusing on locally perceived resilience needs as targetsfor capacity building workshops, management interventions, and climateaction planning.",2018,,Ocean Coast. Manag.,162,,137-150,,10.1016/J.OCECOAMAN.2017.10.010,,#129,Jurjonas 2018,,
51,Analysis of abrupt transitions in ecological systems,"Bestelmeyer, Brandon T; Ellison, Aaron M; Fraser, William R; Gorman, Kristen B; Holbrook, Sally J; Laney, Christine M; Ohman, Mark D; Peters, Debra P C; Pillsbury, Finn C; Rassweiler, Andrew; Schmitt, Russell J; Sharma, Sapna",,2011,,Ecosphere,2,12,art129,,10.1890/ES11-00216.1,,#130,Bestelmeyer 2011,,
52,Adaptation Strategies to Address Rising Water Tables in CoastalEnvironments Under Future Climate and Sea-Level Rise Scenarios,"Manda, Alex K; Klein, Wendy A",,2019,,Coastal Zone Management,,,403-409,,10.1016/b978-0-12-814350-6.00017-3,,#133,Manda 2019,,
53,"Coastal flooding, climate change and environmental justice: Identifyingobstacles and incentives for adaptation in two metropolitan BostonMassachusetts communities","Douglas, Ellen M; Kirshen, Paul H; Paolisso, Michael; Watson, Chris; Wiggin, Jack; Enrici, Ashley; Ruth, Matthias","We explored the possible future impacts of increased coastal flooding dueto sea level rise and the potential adaptation responses of two urban,environmental justice communities in the metropolitan Boston area ofMassachusetts. East Boston is predominantly a residential area with someindustrial and commercial activities, particularly along the coastalfringe. Everett, a city to the north of Boston, has a diversifiedindustrial and commercial base. While these two communities have similarsocioeconomic characteristics, they differ substantially in the extent towhich residents would be impacted by increased coastal flooding. In EastBoston, a large portion of residents would be flooded, while in Everett,it is the commercial/industrial districts that are primarily vulnerable.Through a series of workshops with residents in each community, we foundthat the target populations do not have an adaptation perspective orknowledge of any resources that could assist them in this challenge.Furthermore, they do not feel included in the planning processes withintheir communities. However, a common incentive for both communities was anintense commitment to their communities and an eagerness to learn more andbecome actively engaged in decisions regarding climate change adaptation.The lessons that can be applied to other studies include 1) images arepowerful tools in communicating concepts, 2) understanding existingcultural knowledge and values in adaptation planning is essential to theplanning process and 3) engaging local residents at the beginning of theprocess can create important educational opportunities and develop trustand consensus that is necessary for moving from concept to implementation.",2012,,Mitigation and Adaptation Strategies for Global Change,,,,,10.1007/s11027-011-9340-8,,#137,Douglas 2012,,
54,"Climate change, hurricanes and tropical storms, and rising sea level incoastal wetlands","Michener, W K; Blood, E R; Bildstein, K L; Brinson, M M; Gardner, L R",,1997,,Ecol. Appl.,7,3,770-801,,,,#145,Michener 1997,,
55,Coastal Wetland Distributions: Delineating Domains of Macroscale Driversand Local Feedbacks,"Braswell, Anna E; Heffernan, James B","How do multiple stable states influence local and macroscale ecologicalpatterns? Understanding how local feedbacks operate within heterogeneouscoastal environments is essential to forecasting marsh persistence andloss in response to sea level rise, river impoundment, and otherenvironmental changes. In coastal lagoons, feedbacks between open water,wind erosion, and stabilizing effects from wetland vegetation produce twostates: open water with fringing marshes, and marsh-dominated basins.Unknown is whether, how, and at what scales these feedbacks affectdistribution of marsh ecosystems in large, complex estuaries, wheremacroscale coastal and watershed characteristics control suspendedsediment and wind energy. Using a multi-scale geospatial analysis spanningthe Atlantic and Gulf coasts of the USA, we show that characteristics ofestuaries (depth, shoreline complexity, land use, tidal range, latitude)and their watersheds (discharge) best predict wetland extent at broadspatial scales (~> 102 km2). Bimodal distribution of wetland extent occursat finer scales (~ 100 to 102 km2) that correspond to the theoreticalscale of wave erosion feedbacks. Local feedbacks are thus the mechanismthat controls marsh dynamics, whereas coastal and watershedcharacteristics determine macroscale wetland distributions through theireffects on these processes. In coastal marshes, and likely in othercomplex landscapes, the spatial extent of feedbacks shapes the scales atwhich local and macroscale processes control the distribution ofalternative stable states. These findings help predict scales at whichcoastal wetlands will respond catastrophically or continuously toenvironmental change, and provide a basis for multi-scale strategies toprotect and restore coastal wetland ecosystems.",2019,,Ecosystems,,,,,10.1007/s10021-018-0332-3,,#146,Braswell 2019,,
56,A global perspective on wetland salinization: ecological consequences of agrowing threat to freshwater wetlands,"Herbert, Ellen R; Boon, Paul; Burgin, Amy J; Neubauer, Scott C; Franklin, Rima B; Ardón, Marcelo; Hopfensperger, Kristine N; Lamers, Leon P M; Gell, Peter","Salinization, a widespread threat to the structure and ecologicalfunctioning of inland and coastal wetlands, is currently occurring at anunprecedented rate and geographic scale. The causes of salinization arediverse and include alterations to freshwater flows, land-clearance,irrigation, disposal of wastewater effluent, sea level rise, storm surges,and applications of de-icing salts. Climate change and anthropogenicmodifications to the hydrologic cycle are expected to further increase theextent and severity of wetland salinization. Salinization alters thefundamental physicochemical nature of the soil-water environment,increasing ionic concentrations and altering chemical equilibria andmineral solubility. Increased concentrations of solutes, especiallysulfate, alter the biogeochemical cycling of major elements includingcarbon, nitrogen, phosphorus, sulfur, iron, and silica. The effects ofsalinization on wetland biogeochemistry typically include decreasedinorganic nitrogen removal (with implications for water quality andclimate regulation), decreased carbon storage (with implications forclimate regulation and wetland accretion), and increased generation oftoxic sulfides (with implications for nutrient cycling and thehealth/functioning of wetland biota). Indeed, increased salt and sulfideconcentrations induce physiological stress in wetland biota and ultimatelycan result in large shifts in wetland communities and their associatedecosystem functions. The productivity and composition of freshwaterspecies assemblages will be highly altered, and there is a high potentialfor the disruption of existing interspecific interactions. Although thereis a wealth of information on how salinization impacts individualecosystem components, relatively few studies have addressed the complexand often non-linear feedbacks that determine ecosystem-scale responses orconsidered how wetland salinization will affect landscape-level processes.Although the salinization of wetlands may be unavoidable in many cases,these systems may also prove to be a fertile testing ground for broaderecological theories including (but not limited to): investigations intoalternative stable states and tipping points, trophic cascades,disturbance-recovery processes, and the role of historical events andlandscape context in driving community response to disturbance.",2015,,Ecosphere,6,10,art206,,10.1890/ES14-00534.1,,#147,Herbert 2015,,
57,Tidal wetland stability in the face of human impacts and sea-level rise,"Kirwan, Matthew L; Megonigal, J Patrick","Coastal populations and wetlands have been intertwined for centuries,whereby humans both influence and depend on the extensive ecosystemservices that wetlands provide. Although coastal wetlands have long beenconsidered vulnerable to sea-level rise, recent work has identifiedfascinating feedbacks between plant growth and geomorphology that allowwetlands to actively resist the deleterious effects of sea-level rise.Humans alter the strength of these feedbacks by changing the climate,nutrient inputs, sediment delivery and subsidence rates. Whether wetlandscontinue to survive sea-level rise depends largely on how human impactsinteract with rapid sea-level rise, and socio-economic factors thatinfluence transgression into adjacent uplands.",2013,,Nature,504,7478,53-60,,10.1038/nature12856,,#151,Kirwan 2013,,
58,The effect of increasing salinity and forest mortality on soil nitrogenand phosphorus mineralization in tidal freshwater forested wetlands,"Noe, Gregory B; Krauss, Ken W; Lockaby, B Graeme; Conner, William H; Hupp, Cliff R","Tidal freshwater wetlands are sensitive to sea level rise and increasedsalinity, although little information is known about the impact ofsalinification on nutrient biogeochemistry in tidal freshwater forestedwetlands. We quantified soil nitrogen (N) and phosphorus (P)mineralization using seasonal in situ incubations of modified resin coresalong spatial gradients of chronic salinification (from continuouslyfreshwater tidal forest to salt impacted tidal forest to oligohalinemarsh) and in hummocks and hollows of the continuously freshwater tidalforest along the blackwater Waccamaw River and alluvial Savannah River.Salinification increased rates of net N and P mineralization fluxes andturnover in tidal freshwater forested wetland soils, most likely throughtree stress and senescence (for N) and conversion to oligohaline marsh(for P). Stimulation of N and P mineralization by chronic salinificationwas apparently unrelated to inputs of sulfate (for N and P) or directeffects of increased soil conductivity (for N). In addition, the tidalwetland soils of the alluvial river mineralized more P relative to N thanthe blackwater river. Finally, hummocks had much greater nitrificationfluxes than hollows at the continuously freshwater tidal forested wetlandsites. These findings add to knowledge of the responses of tidalfreshwater ecosystems to sea level rise and salinification that isnecessary to predict the consequences of state changes in coastalecosystem structure and function due to global change, including potentialimpacts on estuarine eutrophication. \textcopyright 2012 US Government.",2013,,Biogeochemistry,114,1-3,225-244,,10.1007/s10533-012-9805-1,,#152,Noe 2013,,
59,Evaluating the effects of land-use change and future climate change onvulnerability of coastal landscapes to saltwater intrusion,"Bhattachan, Abinash; Emanuel, Ryan E; Ardón, Marcelo; Bernhardt, Emily S; Anderson, Steven M; Stillwagon, Matthew G; Ury, Emily A; BenDor, Todd K; Wright, Justin P","The exposure of freshwater-dependent coastal ecosystems to saltwater is apresent-day impact of climate and land-use changes in many coastalregions, with the potential to harm freshwater and terrestrial biota,alter biogeochemical cycles and reduce agricultural yields. Land-useactivities associated with artificial drainage infrastructure (canals,ditches, and drains) could exacerbate saltwater exposure. However, studiesassessing the effects of artificial drainage on the vulnerability ofcoastal landscapes to saltwater exposure are lacking. We examined theextent to which artificial drainage infrastructure has altered thepotential for saltwater intrusion in the coastal plain of eastern NorthCarolina. Regional spatial analyses demonstrate that artificial drainagesnot only lower the overall elevation in coastal landscapes, but they alsoalter the routing and concentration of hydrological flows. Together, thesefactors have the potential to increase the total proportion of thelandscape vulnerable to saltwater intrusion, not only in areas adjacent todrainage infrastructure but also in places where no artificial drainagesexist due to large scale effects of flow rerouting. Among all land covertypes in eastern North Carolina, wetlands are most vulnerable to saltwaterexposure. Droughts and coastal storms associated with climate changepotentially exacerbate vulnerability to saltwater facilitated byartificial drainage.",2018,,"Elementa (Wash., DC)",6,1,62,,10.1525/elementa.316,,#153,Bhattachan 2018,,
60,Flood exposure and poverty in 188 countries,"Rentschler, Jun; Salhab, Melda; Jafino, Bramka Arga","Flooding is among the most prevalent natural hazards, with particularlydisastrous impacts in low-income countries. This study presents globalestimates of the number of people exposed to high flood risks ininteraction with poverty. It finds that 1.81 billion people (23% of worldpopulation) are directly exposed to 1-in-100-year floods. Of these, 1.24billion are located in South and East Asia, where China (395 million) andIndia (390 million) account for over one-third of global exposure. Low-and middle-income countries are home to 89% of the world's flood-exposedpeople. Of the 170 million facing high flood risk and extreme poverty(living on under $1.90 per day), 44% are in Sub-Saharan Africa. Over 780million of those living on under $5.50 per day face high flood risk. Usingstate-of-the-art poverty and flood data, our findings highlight the scaleand priority regions for flood mitigation measures to support resilientdevelopment.",2022,,Nat. Commun.,13,1,3527,,10.1038/s41467-022-30727-4,,#156,Rentschler 2022,,
61,Over the hills and further away from coast: global geospatial patterns ofhuman and environment over the 20th–21st centuries,"Kummu, Matti; de Moel, Hans; Salvucci, Gianluigi; Viviroli, Daniel; Ward, Philip J; Varis, Olli","Proximity to the coast and elevation are important geographicalconsiderations for human settlement. Little is known, however, about howspatial variation in these factors exactly relates to human settlementsand activities, and how this has developed over time. Such knowledge isimportant for identifying vulnerable regions that are at risk fromphenomena such as food shortages and water stress. Human activities are akey driving force in global change, and thus detailed information onpopulation distribution is an important input to any research framework onglobal change. In this paper we assess the global geospatial patterns ofthe distribution of human population and related factors, with regard tothe altitude above sea level and proximity to the coast. The investigatedfactors are physical conditions, urbanisation, agricultural practices,economy, and environmental stress. An important novel element in thisstudy, is that we included the temporal evolution in various factorsrelated to human settlements and agricultural practices over the 20thcentury, and used projections for some of these factors up to the year2050. We found population pressure in the proximity of the coast to besomewhat greater than was found in other studies. Yet, the distribution ofpopulation, urbanisation and wealth are evolving to become more evenlyspread across the globe than they were in the past. Therefore, thecommonly believed tendency of accumulation of people and wealth alongcoasts is not supported by our results. At the same time, food productionis becoming increasingly decoupled from the trends in population density.Croplands are spreading from highly populated coastal zones towards inlandzones. Our results thus indicate that even though people and wealthcontinue to accumulate in proximity to the coast, population densities andeconomic productivity are becoming less diverse in relation to elevationand distance from the coast.",2016,,Environ. Res. Lett.,11,3,034010,,10.1088/1748-9326/11/3/034010,,#159,Kummu 2016,,
62,Coastal freshwater wetlands squeezed between migrating salt marshes andworking lands,"Bernhardt, Emily",Creative solutions are needed to sustain the diversity of coastal wetlandecosystems as sea levels rise.,2022,,Sci Adv,8,26,eadd1628,,10.1126/sciadv.add1628,,#165,Bernhardt 2022,,
63,Effective sea-level rise and deltas: Causes of change and human dimensionimplications,"Ericson, Jason P; Vörösmarty, Charles J; Dingman, S Lawrence; Ward, Larry G; Meybeck, Michel","An assessment is made of contemporary effective sea-level rise (ESLR) fora sample of 40 deltas distributed worldwide. For any delta, ESLR is a netrate, defined by the combination of eustatic sea-level rise, the naturalgross rate of fluvial sediment deposition and subsidence, and acceleratedsubsidence due to groundwater and hydrocarbon extraction. ESLR isestimated under present conditions using a digital data set of deltaboundaries and a simple model of delta dynamics. The deltas in this studyrepresent all major climate zones, levels of population density, anddegrees of economic development. Collectively, the sampled deltas serve asthe endpoint for river basins draining 30% of the Earth's landmass, and42% of global terrestrial runoff. Nearly 300 million people inhabit thesedeltas. For the contemporary baseline, ESLR estimates range from 0.5 to12.5 mm yr - 1 . Decreased accretion of fluvial sediment resulting fromupstream siltation of artificial impoundments and consumptive losses ofrunoff from irrigation are the primary determinants of ESLR in nearly 70%of the deltas. Approximately 20% of the deltas show acceleratedsubsidence, while only 12% show eustatic sea-level rise as the predominanteffect. Extrapolating contemporary rates of ESLR through 2050 reveals that8.7 million people and 28,000 km 2 of deltaic area in the sample set ofdeltas could suffer from enhanced inundation and increased coastalerosion. The population and area inundated rise significantly whenconsidering increased flood risk due to storm surge. This study finds thatdirect anthropogenic effects determine ESLR in the majority of deltasstudied, with a relatively less important role for eustatic sea-levelrise. Serious challenges to human occupancy of deltaic regions worldwideare thus conveyed by factors which to date have been studied lesscomprehensively than the climate change-sea-level rise question.\textcopyright 2005 Elsevier B.V. All rights reserved.",2006,,Glob. Planet. Change,50,1-2,63-82,,10.1016/j.gloplacha.2005.07.004,,#167,Ericson 2006,,
64,Fertilizer legacies meet saltwater incursion: challenges and constraintsfor coastal plain wetland restoration,"Ardón, Marcelo; Helton, Ashley M; Scheuerell, Mark D; Bernhardt, Emily S",,2017,,Elem Sci Anth,5,,,,,,#170,Ardón 2017,,
65,"The effects of varying salinity on ammonium exchange in estuarinesediments of the Parker River, Massachusetts","Weston, Nathaniel B; Giblin, Anne E; Banta, Gary T; Hopkinson, Charles S; Tucker, Jane","We examined the effects of seasonal salinity changes on sediment ammonium(NH(4) (+)) adsorption and exchange across the sediment-water interface inthe Parker River Estuary, by means of seasonal field sampling, laboratoryadsorption experiments, and modeling. The fraction of dissolved NH(4) (+)relative to adsorbed NH(4) (+) in oligohaline sediments rose significantlywith increased pore water salinity over the season. Laboratory experimentsdemonstrated that small (similar to 3) increases in salinity fromfreshwater conditions had the greatest effect on NH(4) (+) adsorption byreducing the exchangeable pool from 69% to 14% of the total NH(4) (+) inthe upper estuary sediments that experience large (0-20) seasonal salinityshifts. NH(4) (+) dynamics did not appear to be significantly affected bysalinity in sediments of the lower estuary where salinities under 10 werenot measured. We further assessed the importance of salinity-mediateddesorption by constructing a simple mechanistic numerical model for porewater chloride and NH(4) (+) diffusion for sediments of the upper estuary.The model predicted pore water salinity and NH(4) (+) profiles that fitmeasured profiles very well and described a seasonal pattern of NH(4) (+)flux from the sediment that was significantly affected by salinity. Themodel demonstrated that changes in salinity on several timescales(tidally, seasonally, and annually) can significantly alter the magnitudeand timing of NH(4) (+) release from the sediments. Salinity-mediateddesorption and fluxes of NH(4) (+) from sediments in the upper estuary canbe of similar magnitude to rates of organic nitrogen mineralization andmay therefore be important in supporting estuarine productivity whenwatershed inputs of N are low.",2010,,Estuaries Coasts,33,4,985-1003,,10.1007/s12237-010-9282-5,,#171,Weston 2010,,
66,SEASONAL PATTERNS OF RIVER CONNECTIVITY AND SALTWATER INTRUSION IN TIDALFRESHWATER FORESTED WETLANDS,"Anderson, Christopher J; Lockaby, B Graeme",,2012,,River Res. Appl.,28,7,814-826,,10.1002/rra.1489,,#175,Anderson 2012,,
67,Human dimensions of climate change and fisheries in a coupled system: theAtlantic surfclam case,"McCay, Bonnie J; Brandt, Sylvia; Creed, Carolyn F","Abstract. McCay, B. J., Brandt, S., and Creed, C. F. 2011. Humandimensions of climate change and fisheries in a coupled system: theAtlantic surfclam case. – I",2011,,ICES J. Mar. Sci.,68,6,1354-1367,,10.1093/icesjms/fsr044,,#176,McCay 2011,,
68,Evaluating the Economic Cost of Coastal Flooding,"Desmet, Klaus; Kopp, Robert; Kulp, Scott; Nagy, Dávid Krisztián; Oppenheimer, Michael; Rossi-Hansberg, Esteban; Strauss, Benjamin",,2018,,,,,,,10.3386/w24918,,#178,Desmet 2018,,
69,Sea-level rise and coastal wetlands,"Blankespoor, Brian; Dasgupta, Susmita; Laplante, Benoit","This paper seeks to quantify the impact of a1-m sea-level rise on coastalwetlands in 86 developing countries and territories. It is found thatapproximately 68 % of coastal wetlands in these countries are at risk. Alarge percentage of this estimated loss is found in Europe and CentralAsia, East Asia, and the Pacific, as well as in the Middle East and NorthAfrica. A small number of countries will be severely affected. China andVietnam(in East Asia and the Pacific), Libya and Egypt (in the Middle Eastand North Africa), and Romania and Ukraine (in Europe and Central Asia)will bear most losses. In economic terms, the loss of coastal wetlands islikely to exceed $703 million per year in 2000 US dollars.",2014,,Ambio,43,8,996-1005,,10.1007/s13280-014-0500-4,,#181,Blankespoor 2014,,
70,"Global inundation dynamics inferred from multiple satellite observations,1993-2000","Prigent, Catherine; Papa, F; Aires, Filipe; Rossow, W B; Matthews, E","Wetlands and surface waters are recognized to play important roles inclimate, hydrologic and biogeochemical cycles, and availability of waterresources. Until now, quantitative, global time series of spatial andtemporal dynamics of inundation have been unavailable. This study presentsthe first global estimate of monthly inundated areas for 1993–2000. Thedata set is derived from a multisatellite method employing passivemicrowave land surface emissivities calculated from SSM/I and ISCCPobservations, ERS scatterometer responses, and AVHRR visible andnear-infrared reflectances. The satellite signal. Global inundated areavaries from a maximum of 5.86  106 km2 (average for 1993–2000) to a meanminimum of 2.12  106 km2. These values are considered consistent withexisting independent, static inventories. The new multisatellite estimatesdata are used to calculate inundated fractions of equal area grid cells(0.25  0.25 at the equator), taking into account the contribution ofvegetation to the passive microwave also show good agreement with regionalhigh-resolution SAR observations over the Amazon basin. The seasonal andinterannual variations in inundation have been evaluated against rain rateestimates from the Global Precipitation Climatology Project (GPCP) andwater levels in wetlands, lakes, and rivers measured with satellitealtimeters. The inundation data base is now being used for hydrologymodeling and methane studies in GCMs.",2007,,J. Geophys. Res. D: Atmos.,112,12,1993-2000,,10.1029/2006JD007847,,#185,Prigent 2007,,
71,A survey-based assessment of perceived flood risk in urban areas of theUnited States,"Harlan, Sharon L; Sarango, Mariana J; Mack, Elizabeth A; Stephens, Timothy A","How people perceive the risks of climatic hazards is currently a majorresearch thrust in the field of risk perception. In the wake of recentflood disasters in the United States (US) and globally, more researchersare investigating social vulnerabilities as well as the role of cognitionin explaining risk perceptions. This study analyzed how people in the USperceive the risk (i.e., likelihood and seriousness) of flooding via alayered analysis that considered several plausible and intertwined linesof inquiry from the risk perception literature. We surveyed 9250individuals within nine major urban areas, including the largest city andone smaller city in each region. The National Flood Hazard Layer productprovided data for deriving their potential exposure to flood hazards. Theanalyses tested and confirmed several hypotheses drawn from SocialVulnerability Theory and from Protective Motivation Theory:characteristics associated with social vulnerability (older, female,race/ethnic minorities, low income), previous experiences with andawareness of flood news, and potential exposure to flood hazard (localfraction of flood prone area) significantly increased risk perceptions offloods. Self-confidence in ability to cope with a future flood disasterlowered risk perceptions. This study is the first snapshot of flood riskperceptions nationwide in the US. It points to needs for moretheoretically-driven research about flood risk perceptions and behaviors,flood risk communication within local communities, and more social andeconomic support for vulnerable populations.",2019,,Anthropocene,28,,100217,,10.1016/j.ancene.2019.100217,,#188,Harlan 2019,,
72,Soil Phosphorus Dynamics and Saltwater Intrusion in a Florida Estuary,"Williams, Asher A; Lauer, Nathan T; Hackney, Courtney T",,2014,,Wetlands,34,3,535-544,,10.1007/s13157-014-0520-7,,#189,Williams 2014,,
73,Changes in phosphorus biogeochemistry along an estuarine salinitygradient: The iron conveyer belt,"Jordan, Thomas E; Cornwell, Jeffrey C; Boynton, Walter R; Anderson, Jon T",,2008,,Limnol. Oceanogr.,53,1,172-184,,10.4319/lo.2008.53.1.0172,,#193,Jordan 2008,,
74,Assessing population exposure to coastal flooding due to sea level rise,"Hauer, Mathew E; Hardy, Dean; Kulp, Scott A; Mueller, Valerie; Wrathall, David J; Clark, Peter U","The exposure of populations to sea-level rise (SLR) is a leading indicatorassessing the impact of future climate change on coastal regions. SLRexposes coastal populations to a spectrum of impacts with broad spatialand temporal heterogeneity, but exposure assessments often narrowly definethe spatial zone of flooding. Here we show how choice of zone results indifferential exposure estimates across space and time. Further, we apply aspatio-temporal flood-modeling approach that integrates across thesespatial zones to assess the annual probability of population exposure. Weapply our model to the coastal United States to demonstrate a more robustassessment of population exposure to flooding from SLR in any given year.Our results suggest that more explicit decisions regarding spatial zone(and associated temporal implication) will improve adaptation planning andpolicies by indicating the relative chance and magnitude of coastalpopulations to be affected by future SLR.",2021,,Nat. Commun.,12,1,6900,,10.1038/s41467-021-27260-1,,#195,Hauer 2021,,
75,Vertical land motion as a key to understanding sea level change andvariability,"Wöppelmann, Guy; Marcos, Marta","Abstract Vertical land motions are a key element in understanding how sealevels have changed over the past century and how future sea levels mayimpact coastal areas. Ideally, to be useful in long-term sea levelstudies, vertical land motion should be determined with standard errorsthat are 1 order of magnitude lower than the contemporary climate signalsof 1 to 3?mm/yr observed on average in sea level records, either usingtide gauges or satellites. This metrological requirement constitutes achallenge in geodesy. Here we review the most successful instrumentalmethods that have been used to determine vertical displacements at theEarth's surface, so that the objectives of understanding and anticipatingsea levels can be addressed adequately in terms of accuracy. In thisrespect, the required level of uncertainty is examined in two case studies(global and local). A special focus is given to the use of the GlobalPositioning System (GPS) and to the combination of satellite radaraltimetry with tide gauge data. We update previous data analyses andassess the quality of global satellite altimetry products available to theusers for coastal applications. Despite recent advances, a near-plateaulevel of accuracy has been reached. The major limitation is therealization of the terrestrial reference frame, whose physical parameters,the origin and the scale factor, are beyond the scope of a uniquetechnique such as the GPS. Additional practical but nonetheless importantissues are associated with the installation of GPS antennas, such asensuring that there is no unknown differential vertical motion with thetide gauge.",2016,,Rev. Geophys.,54,1,64-92,,10.1002/2015rg000502,,#203,Wöppelmann 2016,,
76,Exploring the impacts of flood insurance reform on vulnerable communities,"Nance, Earthea","This paper identifies geographic areas whose real estate markets werepotentially impacted by US flood insurance reform, and it exploresconcurrent vulnerabilities—by income and race—in the most impacted areas.Because of the geographic and demographic significance of the Gulf Coastin terms of flood risk, flood insurance, and vulnerability, theHouston-Galveston region was selected for analysis. Flood insurance reformunder the Biggert–Waters Flood Insurance Reform Act of 2012 occurredunabated over a 21-month period from July 2012 to March 2014. This periodrepresents a unique real-world intervention that can be analyzed using aquasi-experimental design. The period was characterized by numerousanecdotal reports of spiking flood insurance rates and market uncertainty.Market data were gathered for two years before and two years afterBiggert–Waters in Harris and Galveston Counties. Paired z-tests wereperformed to examine before and after market differences. Findings showed17 zip codes that experienced significant impacts (p\textless0.01 in 14zip codes, p\textless0.05 in 3 zip codes). Among the significantlyimpacted zip codes, low-income households were overrepresented by 11% inHarris County and by 32% in Galveston County; and minorities wereoverrepresented by 43% in Galveston. These results support the hypothesisthat flood insurance reform can have disproportionate impacts. The paperprovides a straightforward approach for analyzing the real estate marketimpacts of flood insurance reform at a community scale. It also provides abasis for recommending that regulatory decisions involving flood insurancemust be informed by an analysis of disproportionate impacts.",2015,,International Journal of Disaster Risk Reduction,13,,20-36,,10.1016/J.IJDRR.2015.03.001,,#204,Nance 2015,,
77,Future sea-level rise and its early detection by satellite remote sensing,"Thomas, Robert H",,1987,,Progress in Oceanography,18,1-4,23-40,,10.1016/0079-6611(87)90024-3,,#206,Thomas 1987,,
78,Direct and indirect controls on organic matter decomposition in fourcoastal wetland communities along a landscape salinity gradient,"Stagg, Camille L; Baustian, Melissa M; Perry, Carey L; Carruthers, Tim J B; Hall, Courtney T","Coastal wetlands store more carbon than most ecosystems globally. As sealevel rises, changes in flooding and salinity will potentially impactecological functions, such as organic matter decomposition, that influencecarbon storage. However, little is known about the mechanisms that controlorganic matter loss in coastal wetlands at the landscape scale. As sealevel rises, how will the shift from fresh to salt-tolerant plantcommunities impact organic matter decomposition? Do long-term,plant-mediated, effects of sea-level rise differ from direct effects ofelevated salinity and flooding? We identified internal and externalfactors that regulated indirect and direct pathways of sea-level riseimpacts, respectively, along a landscape-scale salinity gradient thatincorporated changes in wetland type (fresh, oligohaline, mesohaline andpolyhaline marshes). We found that indirect and direct impacts ofsea-level rise had opposing effects on organic matter decomposition.Salinity had an indirect effect on litter decomposition that was mediatedthrough litter quality. Despite significant variation in environmentalconditions along the landscape gradient, the best predictors of above- andbelow-ground litter decomposition were internal drivers, initial litternitrogen content and initial litter lignin content respectively. Litterdecay constants were greatest in the oligohaline marsh and declined withincreasing salinity, and the fraction of litter remaining (asymptote) wasgreatest in the mesohaline marsh. In contrast, direct effects of salinityand flooding were positive. External drivers, salinity and flooding,stimulated cellulytic activity, which was highest in the polyhaline marsh.Synthesis. Our results indicate that as sea level rises, initial directeffects of salinity will stimulate decay of labile carbon, but over timeas plant communities shift from fresh to polyhaline marsh, litter decaywill decline, yielding greater potential for long-term carbon storage.These findings highlight the importance of quantifying carbon loss atmultiple temporal scales, not only in coastal wetlands but also in otherecosystems where plant-mediated responses to climate change will havesignificant impacts on carbon cycling.",2018,,J. Ecol.,106,2,655-670,,10.1111/1365-2745.12901,,#210,Stagg 2018,,
