,Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
1338,Seawater intrusion and retreat in tidally-affected unconfined aquifers: Laboratory experiments and numerical simulations,"Yu, XY; Xin, P; Lu, CH","Based on combined laboratory experiments and numerical simulations, this paper examined seawater intrusion (SWI) and seawater retreat (SWR) processes caused by abrupt inland watertable changes in a laboratory-scale unconfined aquifer (length of 7.7 m and thickness of 1.0 m) subjected to a synthetic sinusoidal fide. The results showed that the salinity distribution was relatively stable and that SWI and SWR processes were almost temporally symmetrical given relatively large horizontal hydraulic gradients (0.0269, 0.0209 and 0.0149) between the inland watertable and the mean sea level. However, the salt distribution changed significantly in response to the inland watertable variations when the horizontal hydraulic gradient was relatively small (0.0030). The speed of the SWI and SWR response to the inland watertable variations was temporally asymmetric, e.g., SWR was quicker than SWI by a factor of 9 with respect to the observed saltwater wedge toe locations. As a relatively thick mixing zone (transition between freshwater and saltwater zones) was induced by the fide, simulated saltwater wedge toe locations, as indicated by the 5%, 50% and 95% isohalines, changed inconsistently. Different hysteresis behaviors were found in the relationship between the SW toe locations and total salt mass stored in the aquifer. Sensitivity analyses demonstrated that the response of both SWI and SWR to the inland watertable variations could be prolonged by a decreased tidal amplitude or decreased tidal period.",2019,,ADVANCES IN WATER RESOURCES,132,,,WOS:000485107700009,10.1016/j.advwatres.2019.103393,,#17597,Yu 2019,,
1339,Multiscale Temporal Response of Salt Intrusion to Transient River and Ocean Forcing,"Payo-Payo, M; Bricheno, LM; Dijkstra, YM; Cheng, WC; Gong, WP; Amoudry, LO","Salt intrusion in surface waters endangers freshwater availability, influences water quality, and affects estuarine ecosystem services with high economic and social values. Salt transport and the resulting salinity distributions result from the non-linear interactions between salt and water dynamics. Estuaries are often considered under (quasi)-steady assumption or by focusing on specific timescales. Our understanding of their temporal multiscale response to transient forcing is limited, which hinders the implementation of effective mitigation strategies. We apply wavelet analyses to quantify the variability of salt intrusion from hourly to seasonal timescales and unravel the temporal variability of its response across scales. We focus on an estuary that undergoes significant transient forcing, the Modaomen estuary in the Pearl River Delta, and apply the wavelet analyses to year-long data generated by a coastal ocean numerical model. Our results show that this estuary responds to changes in tidal and riverine forcing throughout the year over interwoven timescales. Our results highlight the temporal variability of the salt intrusion response time both within a given regime and for the transition between regimes. They also suggest that tides control the response time more strongly than river discharge, even though river discharge determines the magnitude of the salt intrusion, and thus modulates the evolution of the salt intrusion response time. We propose a broadly applicable framework to calculate response times with simple data. These results can provide a first-order guidance for design and implementation of estuarine management strategies and mitigation measures that ensure water access and facilitate sustainable development.",2022,,JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS,127,3,,WOS:000776507900015,10.1029/2021JC017523,,#17598,Payo-Payo 2022,,
1343,"Intensified salinity intrusion in coastal aquifers due to groundwater overextraction: a case study in the Mekong Delta, Vietnam","Tran, DA; Tsujimura, M; Pham, HV; Nguyen, TV; Ho, LH; Vo, PL; Ha, KQ; Dang, TD; Binh, DV; Doan, QV","Groundwater salinization is one of the most severe environmental problems in coastal aquifers worldwide, causing exceeding salinity in groundwater supply systems for many purposes. High salinity concentration in groundwater can be detected several kilometers inland and may result in an increased risk for coastal water supply systems and human health problems. This study investigates the impacts of groundwater pumping practices and regional groundwater flow dynamics on groundwater flow and salinity intrusion in the coastal aquifers of the Vietnamese Mekong Delta using the SEAWAT model-a variable-density groundwater flow and solute transport model. The model was constructed in three dimensions (3D) and accounted for multi-aquifers, variation of groundwater levels in neighboring areas, pumping, and paleo-salinity. Model calibration was carried for 13 years (2000 to 2012), and validation was conducted for 4 years (2013 to 2016). The best-calibrated model was used to develop prediction models for the next 14 years (2017 to 2030). Six future scenarios were introduced based on pumping rates and regional groundwater levels. Modeling results revealed that groundwater pumping activities and variation of regional groundwater flow systems strongly influence groundwater level depletion and saline movement from upper layers to lower layers. High salinity (>2.0 g/L) was expected to expand downward up to 150 m in depth and 2000 m toward surrounding areas in the next 14 years under increasing groundwater pumping capacity. A slight recovery in water level was also observed with decreasing groundwater exploitation. The reduction in the pumping rate from both local and regional scales will be necessary to recover groundwater levels and protect fresh aquifers from expanding paleo-saline in groundwater.",2022,,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,29,6,8996-9010,WOS:000693907600015,10.1007/s11356-021-16282-3,,#17604,Tran 2022,,
1350,Effect of tidal flooding on ecosystem CO2 and CH4 fluxes in a salt marsh in the Yellow River Delta,"Wei, SY; Han, GX; Chu, XJ; Song, WM; He, WJ; Xia, JY; Wu, HT","Tidal flooding is the basic hydrological feature of a salt marsh, and controls its ecosystem carbon exchange. However, the response of ecosystem carbon exchange to different stages of tidal flooding remains poorly documented. To further explore this issue, we conducted a field experiment to assess the effect of tidal stages (before flooding stage, rising tide stage, tidal flooding stage and after ebbing stage), water levels (a control, a low water level (LWL), a middle water level (MWL) and a high water level (HWL)) and soil salinity on ecosystem CO2 and CH4 fluxes in a salt marsh in the Yellow River Delta. Our results showed that the rising tide stage significantly inhibited the uptake of CO2 (LWL: 1.49 +/- 0.23 mu mol m(-2) s(-1); MWL: 1.10 +/- 0.35 mu mol m(-2) s(-1); HWL: 0.54 +/- 0.08 mu mol m(-2) s(-1)). Meanwhile, the rising tide stage also promoted CH4 emissions of MWL and HWL treatments (MWL: 0.97 +/- 0.36 nmol m(-2) s(-1); HWL: 0.93 +/- 0.24 nmol m(-2) s(-1)). CH4 emissions of the after ebbing stage was higher than that of the before flooding stage, and this difference was significant of LWL and MWL treatments (LWL: 0.56 +/- 0.12 vs 0.38 +/- 0.09 nmol m(-2) s(-1); MWL: 0.79 +/- 0.13 vs 0.40 +/- 0.09 nmol m(-2) s(-1)). Moreover, ecosystem CO2 exchange of the HWL treatment was almost completely suppressed during tidal inundation period. During tidal inundation period, net ecosystem CO2 exchange (NEE) was significantly positively correlated with water levels, but CH4 emissions was not significantly affected by water levels. In addition, the rate of CO2 uptake decreased linearly with soil salinity during the non-inundation period. Therefore, it is necessary to analyze the carbon exchange process coupling with the complete tidal flooding process in future researches.",2020,,ESTUARINE COASTAL AND SHELF SCIENCE,232,,,WOS:000514014000021,10.1016/j.ecss.2019.106512,,#17612,Wei 2020,,
1352,Numerical investigation on seawater intrusion and water leakage in different types of stratified coastal aquifers,"Asoodeh, R; Vafaie, F; Mehdizadeh, SS; Movahed, SMA","Prediction of seawater intrusion (SWI) will increase the proper planning for withdrawal of groundwater, and it will help the freshwater management in the future. Since heterogeneous aquifers are more widespread than homogeneous one, this study aims to use the density-dependent SEAWAT code to investigate the influence of different combinations of hydraulic conductivity (K) on SWI. The effects of numbers and arrangement of layers with different K are examined on (a) toe position, (b) freshwater-seawater mixing zone thickness (W-t) and (c) leakage from adjacent layers in a steady-state condition. For this purpose, numerous scenarios with different Kwere simulated and analyzed.The results of horizontally layered aquifers showed that the streamlines are broken on boundary of layers. It was observed that when K is decreased, especially at the middle layer, the refraction angle is increased and consequently W-t is increased. The W-t in vertically layered cases was less than horizontally layered aquifers because of less streamline breakage. Also, random arrangement of K directs the saline flow to higher permeability zones. Thus, the SWI extent in this type of aquifer was more tangible than other types. Because of the difference in hydraulic head at layer borders, the seepage rate significantly increases nearby toe position and the dominant direction is upward. However, in the steady-state condition, the type of flow did not differ significantly for boundary cells of layers at the vicinity of toe position.",2019,,SN APPLIED SCIENCES,1,8,,WOS:000476622600001,10.1007/s42452-019-0842-4,,#17614,Asoodeh 2019,,
1353,Investigating how river flow regimes impact on river delta salinization through idealized modeling,"Matsoukis, C; Amoudry, LO; Bricheno, L; Leonardi, N","IntroductionExcessive salinity can harm ecosystems and compromise the various anthropogenic activities that take place in river deltas. The issue of salinization is expected to exacerbate due to natural and/or anthropogenic climate change. Water regulations are required to secure a sufficient water supply in conditions of limited water volume availability. Research is ongoing in seek of the optimum flow distribution establishing longer lasting and fresher conditions in deltas. MethodsIn this study a three-dimensional (3D) numerical model built for an idealized delta configuration was utilized to investigate how different river discharge annual distributions affect saltwater in deltas. Five simulations were carried out by implementing annual distributions of equal water volume but different shape. ResultsThe results showed that peak flow magnitude, time of occurrence and the length of a hydrograph's tails can be important parameters affecting stratification, freshwater residence, and renewal times. Hydrographs of small flow range and light tails were the most successful in keeping the delta and its trunk channel fresher for longer periods. Salinity distributions showed a slower response to decreasing rather than increasing river discharges. An increase in the flow rate can result in salinity standards demanded for certain activities (e.g., farming, irrigation etc.) in much shorter times. On the other hand, hydrographs with heavy tails can push the salt intrusion limit further away and be more efficient in mixing the water column. However, they present low freshwater residence and high-water renewal times. DiscussionThese results provide strong indications that it is possible to improve the freshwater conditions in deltas without seeking for additional water resources but by modifying the water distribution. The main outcomes of this work may be able to support and assist coastal scientists and stakeholders dealing with the management of freshwater resources in river deltas across the world.",2023,,FRONTIERS IN MARINE SCIENCE,10,,,WOS:000933837200001,10.3389/fmars.2023.1075683,,#17616,Matsoukis 2023,,
1354,Groundwater Throughflow and Seawater Intrusion in High Quality Coastal Aquifers,"Costall, AR; Harris, BD; Teo, B; Schaa, R; Wagner, FM; Pigois, JP","High quality coastal aquifer systems provide vast quantities of potable groundwater for millions of people worldwide. Managing this setting has economic and environmental consequences. Specific knowledge of the dynamic relationship between fresh terrestrial groundwater discharging to the ocean and seawater intrusion is necessary. We present multi- disciplinary research that assesses the relationships between groundwater throughflow and seawater intrusion. This combines numerical simulation, geophysics, and analysis of more than 30 years of data from a seawater intrusion monitoring site. The monitoring wells are set in a shallow karstic aquifer system located along the southwest coast of Western Australia, where hundreds of gigalitres of fresh groundwater flow into the ocean annually. There is clear evidence for seawater intrusion along this coastal margin. We demonstrate how hydraulic anisotropy will impact on the landward extent of seawater for a given groundwater throughflow. Our examples show how the distance between the ocean and the seawater interface toe can shrink by over 100% after increasing the rotation angle of hydraulic conductivity anisotropy when compared to a homogeneous aquifer. We observe extreme variability in the properties of the shallow aquifer from ground penetrating radar, hand samples, and hydraulic parameters estimated from field measurements. This motived us to complete numerical experiments with sets of spatially correlated random hydraulic conductivity fields, representative of karstic aquifers. The hydraulic conductivity proximal to the zone of submarine groundwater discharge is shown to be significant in determining the overall geometry and landward extent of the seawater interface. Electrical resistivity imaging (ERI) data was acquired and assessed for its ability to recover the seawater interface. Imaging outcomes from field ERI data are compared with simulated ERI outcomes derived from transport modelling with a range of hydraulic conductivity distributions. This process allows for interpretation of the approximate geometry of the seawater interface, however recovery of an accurate resistivity distribution across the wedge and mixing zone remains challenging. We reveal extremes in groundwater velocity, particularly where fresh terrestrial groundwater discharges to the ocean, and across the seawater recirculation cell. An overarching conclusion is that conventional seawater intrusion monitoring wells may not be suitable to constrain numerical simulation of the seawater intrusion. Based on these lessons, we present future options for groundwater monitoring that are specifically designed to quantify the distribution of; (i) high vertical and horizontal pressure gradients, (ii) sharp variations in subsurface flow velocity, (iii) extremes in hydraulic properties, and (iv) rapid changes in groundwater chemistry. These extremes in parameter distribution are common in karstic aquifer systems at the transition from land to ocean. Our research provides new insights into the behaviour of groundwater in dynamic, densely populated, and ecologically sensitive coastal environments found worldwide.",2020,,SCIENTIFIC REPORTS,10,1,,WOS:000543960400008,10.1038/s41598-020-66516-6,,#17619,Costall 2020,,
1357,Modelling saline intrusion using dynamic mesh optimization with parallel processing,"Hamzehloo, A; Bahlali, ML; Salinas, P; Jacquemyn, C; Pain, CC; Butler, AP; Jackson, MD","Saline intrusion (SI) in coastal aquifers is a global problem with the potential to contaminate groundwater used by over a billion people. Numerical modelling of SI in coastal aquifers is a key tool for risk assessment, aquifer management and resource regulation, but is extremely challenging because the mixing zone across the saline front is often very narrow, extending over metres or 10's metres, yet the saline front itself may extend laterally over a large (i.e. many km) three-dimensional (3D) domain. Moreover, the aquifer may be highly heterogeneous, further complicating the movement and geometry of the front. We test here the use of dynamic mesh optimization (DMO) in a parallel computational framework to simulate SI with higher accuracy and lower computational cost compared to fixed-mesh approaches. The framework uses a double control-volume-finite element (DCVFE) method and is implemented in the open-source Imperial College Finite Element Reservoir SimulaTor (IC-FERST), but could be implemented in other FE-based simulators. We confirm accuracy and convergence using test cases based on the classic 'Henry' SI problem, demonstrating that solutions obtained using DMO require significantly fewer elements and therefore have much lower computational cost compared to equivalent fixed mesh solutions. We apply the framework to a realistic 3D case study simulating saline intrusion in a heterogeneous chalk aquifer, demonstrating simulation speed-up in excess of 120x. We suggest that parallelized DMO offers significant advantages over existing methods to simulate SI.",2022,,ADVANCES IN WATER RESOURCES,164,,,WOS:000805131600006,10.1016/j.advwatres.2022.104189,,#17622,Hamzehloo 2022,,
1358,The Henry problem: New semianalytical solution for velocity-dependent dispersion,"Fahs, M; Ataie-Ashtiani, B; Younes, A; Simmons, CT; Ackerer, P","A new semianalytical solution is developed for the velocity-dependent dispersion Henry problem using the Fourier-Galerkin method (FG). The integral arising from the velocity-dependent dispersion term is evaluated numerically using an accurate technique based on an adaptive scheme. Numerical integration and nonlinear dependence of the dispersion on the velocity render the semianalytical solution impractical. To alleviate this issue and to obtain the solution at affordable computational cost, a robust implementation for solving the nonlinear system arising from the FG method is developed. It allows for reducing the number of attempts of the iterative procedure and the computational cost by iteration. The accuracy of the semianalytical solution is assessed in terms of the truncation orders of the Fourier series. An appropriate algorithm based on the sensitivity of the solution to the number of Fourier modes is used to obtain the required truncation levels. The resulting Fourier series are used to analytically evaluate the position of the principal isochlors and metrics characterizing the saltwater wedge. They are also used to calculate longitudinal and transverse dispersive fluxes and to provide physical insight into the dispersion mechanisms within the mixing zone. The developed semianalytical solutions are compared against numerical solutions obtained using an in house code based on variant techniques for both space and time discretization. The comparison provides better confidence on the accuracy of both numerical and semianalytical results. It shows that the new solutions are highly sensitive to the approximation techniques used in the numerical code which highlights their benefits for code benchmarking.",2016,,WATER RESOURCES RESEARCH,52,9,7382-7407,WOS:000386977900038,10.1002/2016WR019288,,#17623,Fahs 2016,,
1360,Carbon release and transformation from coastal peat deposits controlled by submarine groundwater discharge: a column experiment study,"Kreuzburg, M; Rezanezhad, F; Milojevic, T; Voss, M; Gosch, L; Liebner, S; Van Cappellen, P; Rehder, G","Although the majority of coastal sediments consist of sandy material, in some areas marine ingression caused the submergence of terrestrial carbon-rich peat soils. This affects the coastal carbon balance, as peat represents a potential carbon source. We performed a column experiment to better understand the coupled flow and biogeochemical processes governing carbon transformations in submerged peat under coastal fresh groundwater (GW) discharge and brackish water intrusion. The columns contained naturally layered sediments with and without peat (organic carbon content in peat 39 +/- 14 wt%), alternately supplied with oxygen-rich brackish water from above and oxygen-poor, low-saline GW from below. The low-saline GW discharge through the peat significantly increased the release and ascent of dissolved organic carbon (DOC) from the peat (delta C-13(DOC) - 26.9 parts per thousand to - 27.7 parts per thousand), which was accompanied by the production of dissolved inorganic carbon (DIC) and emission of carbon dioxide (CO2), implying DOC mineralization. Oxygen respiration, sulfate (SO42-) reduction, and methane (CH4) formation were differently pronounced in the sediments and were accompanied with higher microbial abundances in peat compared to sand with SO42--reducing bacteria clearly dominating methanogens. With decreasing salinity and SO42- concentrations, CH4 emission rates increased from 16.5 to 77.3 mu mol m(-2) d(-1) during a 14-day, low-saline GW discharge phase. In contrast, oxygenated brackish water intrusion resulted in lower DOC and DIC pore water concentrations and significantly lower CH4 and CO2 emissions. Our study illustrates the strong dependence of carbon cycling in shallow coastal areas with submerged peat deposits on the flow and mixing dynamics within the subterranean estuary.",2020,,LIMNOLOGY AND OCEANOGRAPHY,65,5,1116-1135,WOS:000520763200001,10.1002/lno.11438,,#17625,Kreuzburg 2020,,
1362,Occurrence of seawater intrusion overshoot,"Morgan, LK; Bakker, M; Werner, AD","A number of numerical modeling studies of transient sea level rise (SLR) and seawater intrusion (SI) in flux-controlled aquifer systems have reported an overshoot phenomenon, whereby the freshwater-saltwater interface temporarily extends further inland than the eventual steady state position. Recently, physical sand-tank modeling has shown overshoot to be a physical process. In this paper, we have carried out numerical modeling of SLR-SI to demonstrate that overshoot can occur at the field scale within unconfined aquifers. This result is contrary to previous conclusions drawn from a restricted number of cases. In addition, we show that SI overshoot is plausible under scenarios of gradual sea level rise that are consistent with conditions predicted by the Intergovernmental Panel for Climate Change. Overshoot was found to be largest in flux-controlled unconfined aquifers characterized by low freshwater flux, high specific yield, and large inland extent. These conditions result in longer timeframes for the aquifer to reach new steady state conditions following SLR, and the extended period prior to reequilibration of the groundwater flow field produces more extensive overshoot.",2015,,WATER RESOURCES RESEARCH,51,4,1989-1999,WOS:000354733500007,10.1002/2014WR016329,,#17640,Morgan 2015,,
1363,"Arsenic-rich shallow groundwater in sandy aquifer systems buffered by rising carbonate waters: A geochemical case study from Mannar Island, Sri Lanka","Bandara, UGC; Diyabalanage, S; Hanke, C; van Geldern, R; Barth, JAC; Chandrajith, R","Major ion, trace elements, and stable isotope analyses were performed on groundwater samples collected from Mannar Island in the northern Indian Ocean. Arsenic concentrations up to 34 mu g/L have been observed in groundwater samples from the island. In addition, 23% of extensively used shallow drinking water wells showed higher arsenic contents than the recommended value by the World Health Organization (10 mu g/L). Groundwater in the island showed pH values between 6.9 and 8.9 and was dominated by Na+, K+, Ca2+, Mg2+, HCO3-, Cl- and SO42-. The delta O-18(H2O) and delta H-2(H2O) composition of most groundwater plotted very close to the local meteoric waterline, however, some wells showed enriched isotope compositions that are most likely due to evaporation. Sea water intrusion in this island was likely of minor importance as indicated by the major ion composition. An approximated mass balance calculation using chloride concentrations indicated that out of the 35 investigated wells only 6 near-shore wells were influenced by sea water intrusion up to about 15%. Even though this is a sandy aquifer, groundwaters were characterized with higher contents of dissolved inorganic carbon (DIC) (2.11-0.9 mmol/L). The corresponding delta C-13(DIC) values varied from -19.4 parts per thousand to -6.5 parts per thousand. Except for a few samples with values approaching -20 parts per thousand, these isotope values are more typical for carbonate dissolution and equilibration of CO2 in the aquifer. This study shows that the underlying carbonate system may buffer the aqueous geochemistry of the groundwater on the island. The high arsenic content in groundwater may have beenmobilized through reductive dissolution of Fe-Mn oxides and oxy-hydroxides that are coated on sandy aquifer materials. The lower content of DOC (0.2-1.5 mmol/L) provides evidence for the restricted formation of pyrite in the aquifer. (c) 2018 Elsevier B.V. All rights reserved.",2018,,SCIENCE OF THE TOTAL ENVIRONMENT,633,,1352-1359,WOS:000432475300131,10.1016/j.scitotenv.2018.03.226,,#17646,Bandara 2018,,
1365,Bridging groundwater models and decision support with a Bayesian network,"Fienen, MN; Masterson, JP; Plant, NG; Gutierrez, BT; Thieler, ER","Resource managers need to make decisions to plan for future environmental conditions, particularly sea level rise, in the face of substantial uncertainty. Many interacting processes factor in to the decisions they face. Advances in process models and the quantification of uncertainty have made models a valuable tool for this purpose. Long-simulation runtimes and, often, numerical instability make linking process models impractical in many cases. A method for emulating the important connections between model input and forecasts, while propagating uncertainty, has the potential to provide a bridge between complicated numerical process models and the efficiency and stability needed for decision making. We explore this using a Bayesian network (BN) to emulate a groundwater flow model. We expand on previous approaches to validating a BN by calculating forecasting skill using cross validation of a groundwater model of Assateague Island in Virginia and Maryland, USA. This BN emulation was shown to capture the important groundwater-flow characteristics and uncertainty of the groundwater system because of its connection to island morphology and sea level. Forecast power metrics associated with the validation of multiple alternative BN designs guided the selection of an optimal level of BN complexity. Assateague island is an ideal test case for exploring a forecasting tool based on current conditions because the unique hydrogeomorphological variability of the island includes a range of settings indicative of past, current, and future conditions. The resulting BN is a valuable tool for exploring the response of groundwater conditions to sea level rise in decision support.",2013,,WATER RESOURCES RESEARCH,49,10,6459-6473,WOS:000327432500023,10.1002/wrcr.20496,,#17648,Fienen 2013,,
1366,Direct and Inverse Modeling of Seawater Intrusion: A Perspective,"Priyanka, BN; Kumar, MMS","Sea Water Intrusion (SWI) is one of the major hydrological problem in coastal aquifers. This global issue is aggravated by increasing demands for freshwater in coastal regions. In this paper, different approaches of modeling SWI and the parameters affecting the process of SWI are introduced. This is followed by the discussion on the numerical models to solve the complex, three dimensional (3D) groundwater and solute transport problems in coastal aquifer. The importance of considering aquifer characteristics while modeling the groundwater system for flow and solute transport is emphasized. A brief discussion on previous methodology, novelty and limitations on direct simulation of SWI are tabulated. The significant aspects to be considered while direct modeling of coastal aquifers are discussed and the recent focus of research in this area of interest are stated. In direct modeling, information on aquifer parameters are often unknown, therefore, an inverse approach is explained briefly. The previous studies relating to determistic inverse modeling for coupled groundwater flow and solute transport problems reported in literature are summarized. The insights about prior information, estimated parameter sensitivities, variances and correlations are reported. The paper identifies some of the existing gaps in the modeling of SWI based on the previous work and provides comprehensive understanding on direct and deterministic inverse SWI modeling.",2017,,JOURNAL OF THE GEOLOGICAL SOCIETY OF INDIA,90,5,595-601,WOS:000416346900012,10.1007/s12594-017-0757-x,,#17650,Priyanka 2017,,
1367,Analysis on Salinity Intrusion in Pearl River Estuary,"Deng, JQ; Liu, C; Yu, ZX","In recent years, the salinity intrusion in the Pearl River Estuary is getting more active; duration is longer, scope is larger and intensity is stronger. It has brought a serious influence on the drinking water for 15 million people in the Delta. This paper analyzes the factors affecting salinity intrusion: the sea level rise caused by global climate warming enhance the tidal dynamic; the successive drought weaken the runoff dynamic that press the intrusion; the increases of water evaporation and consumption due to the global climate warming and urban development; the river undercut caused by illegal sand excavation changes the river topography and leads to the increase of the tidal prism, tide range and eventually the tidal dynamic.",2013,,"PROCEEDINGS OF THE 35TH IAHR WORLD CONGRESS, VOLS III AND IV",,,,WOS:000370410301008,,,#17664,Deng 2013,,
1368,The Impact of Sea Level Rise in the Guadiana Estuary,"Mills, L; Janeiro, J; Martins, F",Understanding the impact of sea level rise on coastal areas is crucial as a large percentage of the population live on the coast. This study uses computational tools to examine how two major consequences of sea level rise: salt intrusion and an increase in water volume affect the hydrodynamics and flooding areas of a major estuary in the Iberian Peninsula. A 2D numerical model created with the software MOHID was used to simulate the Guadiana Estuary in different scenarios of sea level rise combined with different freshwater flow rates. An increase in salinity was found in response to an increase in mean sea level in low and intermediate freshwater flow rates. An increase in flooding areas around the estuary were also positively correlated with an increase in mean sea level.,2019,,"COMPUTATIONAL SCIENCE - ICCS 2019, PT IV",11539,,287-300,WOS:000589297100023,10.1007/978-3-030-22747-0_23,,#17665,Mills 2019,,
1371,Suspended sediment projections in Apalachicola Bay in response to altered river flow and sediment loads under climate change and sea level rise,"Huang, WR; Hagen, SC; Wang, DB; Hovenga, PA; Teng, F; Weishampel, JF","Suspended sediments, or total suspended solids (TSS), are an important factor for oyster habitat. While high concentrations of suspended sediments can cause a reduction of oyster density, some level of suspended sediment is required to supply oysters with necessary nutrients. In this study, characteristics of TSS variations in response to sea level rise (SLR) at two oyster reefs in Apalachicola Bay are investigated by coupled estuarine hydrodynamic and sediment transport modeling. A storm event in 1993 and a year-long period in 2010 under recent sea level conditions are selected as the baseline conditions. Scenarios of river flow and sediment loads under SLR and climate change are obtained by downscaled global climate modeling. Compared to the baseline conditions, simulations of TSS indicate that predicted SLR yields a substantial decrease in TSS near the two oyster reefs. However, TSS levels differed at the two study locations. TSS changes by SLR revealed minimal impact on oyster habitat at the Dry Bar site (to the west of the mouth of the Apalachicola River) but are projected to have a significant impact at the Cat Point site (to the east of the Apalachicola River). At Cat Point, because SLR causes the increase of salt water intrusion from the Gulf through a large tidal inlet (East Pass), maximum sediment concentration is near zero for 0.2-m SLR and equal to zero for 0.5- and 1.2-m SLR. Therefore, SLR may result in a substantial loss of nutrients from suspended sediment in the oyster reef at Cat Point.",2016,,EARTHS FUTURE,4,10,428-439,WOS:000387762100001,10.1002/2016EF000384,,#17690,Huang 2016,,
1378,Forcing uncertainty and salinity response to dredging in a tidal freshwater river,"Miller, RL","This study evaluates the salinity response to dredging under different forcing regimes for a 75-kilometer segment of the flood-prone Vermilion River located in coastal Louisiana, USA. The Vermilion is a tidal freshwater river affected by baseflow regulation, rapid urbanization, and hydromodification. This river also serves as major freshwater resource for the region. An efficient one-dimensional model calibrated previously for stage and water temperature is used to analyse the salinity impacts due to a large-scale flood control dredging. The analysis is based on 200 alternative scenarios based on combinations of uncertain key forcing variables for a critical 13-day intrusion period. The analysis reveals a nonlinear effect on mean salinities and position of the brackish water limit as a function of uncertain forcing variables. Dredging also increases the variability of salinity encroachment effects due to uncertainty in future forcing conditions (e.g. relative sea level rise, baseflow diversion volumes, and salinities at the river mouth). The robust analysis presented here provides a foundation for future model-based assessments of under-studied tidal freshwater rivers and provides key insights for coastal management and sustainability efforts in general.",2023,,INTERNATIONAL JOURNAL OF RIVER BASIN MANAGEMENT,21,2,243-251,WOS:000685732200001,10.1080/15715124.2021.1961795,,#17728,Miller 2023,,
1380,The impact of water-intake for a tributary on the flow and saline intrusion in the lower Han River,"Ahn, JM; Lyu, S","The instream flow of the Ara River is to be supplied from the Han River, and so an Environmental Fluid Dynamics Code (EFDC) model was applied to investigate the impact of water-intake to the Ara River on the total river flow and saline water intrusion. Through the numerical simulation of flow and saline water intrusion under different drainage conditions, it was found that the water intake for the Ara River has an impact not only on the hydraulic characteristics (water level and flow rate), but also on the extent of saline water intrusion in the Han River. It was also found that the change of discharge in the Han River, caused by the water supplying to the Ara River, can increase the salt concentration in the vicinity of the Singok Submerged Weir by 0.5 psu. As agricultural productivity can be affected by even this small amount of salt concentration change, much closer attention should be paid to the relation between water-intake condition and its effect on the Han River.",2017,,KSCE JOURNAL OF CIVIL ENGINEERING,21,5,1945-1955,WOS:000404144000046,10.1007/s12205-016-0020-9,,#17754,Ahn 2017,,
1381,Assessment of the climate change impacts on fecal coliform contamination in a tidal estuarine system,"Liu, WC; Chan, WT","Climate change is one of the key factors affecting the future microbiological water quality in rivers and tidal estuaries. A coupled 3D hydrodynamic and fecal coliform transport model was developed and applied to the Danshuei River estuarine system for predicting the influences of climate change on microbiological water quality. The hydrodynamic and fecal coliform model was validated using observational salinity and fecal coliform distributions. According to the analyses of the statistical error, predictions of the salinity and the fecal coliform concentration from the model simulation quantitatively agreed with the observed data. The validated model was then applied to predict the fecal coliform contamination as a result of climate change, including the change of freshwater discharge and the sea level rise. We found that the reduction of freshwater discharge under climate change scenarios resulted in an increase in the fecal coliform concentration. The sea level rise would decrease fecal coliform distributions because both the water level and the water volume increased. A reduction in freshwater discharge has a negative impact on the fecal coliform concentration, whereas a rising sea level has a positive influence on the fecal coliform contamination. An appropriate strategy for the effective microbiological management in tidal estuaries is required to reveal the persistent trends of climate in the future.",2015,,ENVIRONMENTAL MONITORING AND ASSESSMENT,187,12,,WOS:000365871600004,10.1007/s10661-015-4959-7,,#17755,Liu 2015,,
1382,Exploring Freshwater Regimes and Impact Factors in the Coastal Estuaries of the Vietnamese Mekong Delta,"Dang, VH; Tran, DD; Pham, TBT; Khoi, DN; Tran, PH; Nguyen, NT","Freshwater resources make an essential contribution to the livelihoods of millions of local people in the coastal estuaries of the Vietnamese Mekong Delta (VMD). However, coastal freshwaters currently face numerous threats, not least (i) changing tidal dynamics due to sea level rise and (ii) changes in river regimes due to dam construction upstream. This research explores the evolution of freshwater regimes in these coastal estuaries. Using process diagrams, freshwater distributions are mapped and analyzed. Application of statistical methods provides insight into freshwater flow cycles and variations in water regimes upstream at various measurement points within the estuaries. A previously calibrated and validated hydraulic model is used to simulate drought-year scenarios and spatial changes in freshwaters over time. Findings indicate decreasing river discharges in the flood season, but increasing discharges in the dry season, due to the impacts of hydropower dams. In addition, the driest months are shifting earlier. From this data, we derive rules of thumb regarding freshwater distributions in the coastal estuaries of the VMD. These relate to (i) the boundary beyond which freshwater is always found; (ii) the boundary where freshwater appears daily; (iii) the start of the freshwater season; (iii) the boundary where freshwater appears until February and until April; (iv) the end of the flood season; and (v) the number of days without freshwater per year. The trends discerned will help local freshwater users and decision makers formulate forward-looking, flexible strategies for freshwater exploitation, while also providing avenues for further research.",2019,,WATER,11,4,,WOS:000473105700152,10.3390/w11040782,,#17763,Dang 2019,,
